,input,A,B
1420,그는 새 노트북을 구입했다,그는 현명하다,그는 새 노트북을 구입했다. 그는 행복한 사람으로 보인다
1421,그는 속임수를 썼다,그는 부정직하다,그는 속임수를 썼다. 그는 부정직한 사람으로 보인다
1422,그는 TV를 보고 있었다,그는 휴식이 필요하다,그는 TV를 보고 있었다. 그는 게으른 사람으로 보인다
1423,그는 온 바닥에 쏠았다,그는 절망적이다,그는 온 바닥에 쏠았다. 그는 지루한 사람으로 보인다
1424,그는 핫도그 먹기 대회에 참가했다,그는 대담하다,그는 핫도그 먹기 대회에 참가했다. 그는 배고픈 사람으로 보인다
1425,그는 무대 공포증이 있었다,그는 무서움을 겪다,그는 무대 공포증이 있었다. 그는 무서워하는 사람으로 보인다
1426,그는 멀리 있는 물체를 볼 수 있었다,그는 시력이 좋다,그는 멀리 있는 물체를 볼 수 있었다. 그는 시력이 좋은 사람으로 보인다
1427,그는 집으로 돌아가는 길을 찾았다,그는 지적이다,그는 집으로 돌아가는 길을 찾았다. 그는 만족한 사람으로 보인다
1428,그는 자신의 능력을 키웠다,그는 자신감이 있다,그는 자신의 능력을 키웠다. 그는 자신감 넘치는 사람으로 보인다
1429,그는 초인종을 눌렀다,그는 기다리다,그는 초인종을 눌렀다. 그는 교양있는 사람으로 보인다
1430,그는 발목을 뼜다,그는 서투르다,그는 발목을 뼜다. 그는 다치기 쉬운 사람으로 보인다
1431,그는 그녀를 밀쳐내었다,그는 무례하다,그는 그녀를 밀쳐내었다. 그는 무모한 사람으로 보인다
1432,그는 그녀에게 빵을 줬다,그는 관대하다,그는 그녀에게 빵을 줬다. 그는 관대한 사람으로 보인다
1433,그는 자판기에서 사탕을 꺼내었다,그는 달콤하다,그는 자판기에서 사탕을 꺼내었다. 그는 달콤한 사람으로 보인다
1434,그는 독감 예방 주사를 맞았다,그는 예방에 신경을 쓴다,그는 독감 예방 주사를 맞았다. 그는 건강을 중요시하는 사람으로 보인다
1435,그는 섹터에서 건물을 발견했다,그는 탐험가다,그는 섹터에서 건물을 발견했다. 그는 궁금한 사람으로 보인다
1436,그는 자전거에서 떨어졌다,그는 불안정하다,그는 자전거에서 떨어졌다. 그는 서투른 사람으로 보인다
1437,그는 책을 돌려받았다,그는 교양이 있다,그는 책을 돌려받았다. 그는 만족한 사람으로 보인다
1438,그는 침실을 청소했다,그는 깔끔하다,그는 침실을 청소했다. 그는 꼼꼼한 사람으로 보인다
1439,그는 얼음판 위에서 미끄러졌다,그는 조심하지 않다,그는 얼음판 위에서 미끄러졌다. 그는 조심스런 사람으로 보인다
1440,그는 기분이 훨씬 나아졌다,그는 안도하다,그는 기분이 훨씬 나아졌다. 그는 즐거운 사람으로 보인다
1441,그는 수건을 가져왔다,그는 깨끗하다,그는 수건을 가져왔다. 그는 예의바른 사람으로 보인다
1442,그는 졸리다고 느꼈다,그는 피곤하다,그는 졸리다고 느꼈다. 그는 피곤한 사람으로 보인다
1443,그는 얼룩이 생겼다,그는 조심스럽다,그는 얼룩이 생겼다. 그는 지저분한 사람으로 보인다
1444,그는 새 가구를 구입했다,그는 소비적이다,그는 새 가구를 구입했다. 그는 부유한 사람으로 보인다
1445,그는 슬퍼 보였다,그는 우울하다,그는 슬퍼 보였다. 그는 우울한 사람으로 보인다
1446,그는 처음에는 좋아했다,그는 호의적이다,그는 처음에는 좋아했다. 그는 호의적인 사람으로 보인다
1447,그는 실수로 베였다,그는 어리석다,그는 실수로 베였다. 그는 어설픈 사람으로 보인다
1448,그는 밖에서 추위를 느꼈다,그는 추위를 타다,그는 밖에서 추위를 느꼈다. 그는 춥다고 말하는 사람으로 보인다
1449,그는 사고를 일으켰다,그는 부주의하다,그는 사고를 일으켰다. 그는 부주의한 사람으로 보인다
1450,그는 함께 웃었다,그는 친근하다,그는 함께 웃었다. 그는 쾌활한 사람으로 보인다
1451,그는 스카이다이빙을 하러 갔다,그는 모험심이 강하다,그는 스카이다이빙을 하러 갔다. 그는 용감한 사람으로 보인다
1452,그는 새 휴대폰을 받았다,그는 기쁘다,그는 새 휴대폰을 받았다. 그는 기쁜 사람으로 보인다
1453,그는 어쨌든 가기로 결정했다,그는 결단력이 있다,그는 어쨌든 가기로 결정했다. 그는 결단력 있는 사람으로 보인다
1454,그는 그녀의 뺨을 쓰다듬었다,그는 애정을 표현한다,그는 그녀의 뺨을 쓰다듬었다. 그는 로맨틱한 사람으로 보인다
1455,그는 어지럽었다,그는 혼란스럽다,그는 어지럽었다. 그는 혼란스러운 사람으로 보인다
1456,그는 술을 많이 마셨다,그는 술에 취한 모습이다,그는 술을 많이 마셨다. 그는 취한 사람으로 보인다
1457,그는 매니큐어를 받았다,그는 섬세하다,그는 매니큐어를 받았다. 그는 깔끔한 사람으로 보인다
1458,그는 일격을 가했다,그는 강력하다,그는 일격을 가했다. 그는 강력한 사람으로 보인다
1459,그는 아침을 먹었다,그는 건강하다,그는 아침을 먹었다. 그는 건강한 사람으로 보인다
1460,그는 페디큐어를 받았다,그는 자기 관리에 신경을 쓴다,그는 페디큐어를 받았다. 그는 손좀 많이 내는 사람으로 보인다
1461,그는 밴드를 시작했다,그는 음악적인 것을 즐긴다,그는 밴드를 시작했다. 그는 음악적인 사람으로 보인다
1462,그는 볼륨을 높였다,그는 활동적이다,그는 볼륨을 높였다. 그는 활기찬 사람으로 보인다
1463,그는 새 라켓을 구입했다,그는 취미가 있다,그는 새 라켓을 구입했다. 그는 스포츠를 좋아하는 사람으로 보인다
1464,그는 새 직장이 생겼다,그는 행운아이다,그는 새 직장이 생겼다. 그는 흥분한 사람으로 보인다
1465,그는 알람이 울려도 잠을 자지 않았다,그는 불면증이 있다,그는 알람이 울려도 잠을 자지 않았다. 그는 불면증인 사람으로 보인다
1466,그는 식료품 쇼핑을 하러 갔다,그는 집안일을 잘한다,그는 식료품 쇼핑을 하러 갔다. 그는 배고픈 사람으로 보인다
1467,그는 유튜브에서 동영상을 시청했다,그는 현대적이다,그는 유튜브에서 동영상을 시청했다. 그는 흥미진진한 사람으로 보인다
1468,그는 학교를 그리워 했다,그는 향수에 젖다,그는 학교를 그리워 했다. 그는 애정 어린 사람으로 보인다
1469,그는 내일 시험이 있었다,그는 준비가 되어 있지 않다,그는 내일 시험이 있었다. 그는 긴장한 사람으로 보인다
1470,그는 새 선풍기를 구입했다,그는 현명하다,그는 쾌활한 사람으로 보인다
1471,그는 자신감이 더 생겼다,그는 자신감이 있다,그는 자신감이 더 생겼다. 그는 당당한 사람으로 보인다
1472,그는 날씨를 확인했다,그는 신중하다,그는 날씨를 확인했다. 그는 신중한 사람으로 보인다
1473,그는 반려동물을 키우고 싶어 했다,그는 애완동물을 좋아하는 사람으로 보인다,그는 반려동물을 키우고 싶어 했다. 그는 애정 어린 사람으로 보인다
1474,그는 뉴스를 확인했다,그는 알려진 사실에 관심이 많다,그는 뉴스를 확인했다. 그는 알려진 사람으로 보인다
1475,그는 손가락을 두드렸다,그는 조금 짜증난다,그는 손가락을 두드렸다. 그는 긴장된 사람으로 보인다
1476,그는 아내와 이혼했다,그는 슬프다,그는 아내와 이혼했다. 그는 슬픈 사람으로 보인다
1477,그는 그 어느 때보다 기분이 좋아졌다,그는 행복해 보인다,그는 그 어느 때보다 기분이 좋아졌다. 그는 환한 사람으로 보인다
1478,그는 강아지를 키우게 되었다,그는 다정하다,그는 강아지를 키우게 되었다. 그는 책임감 있는 사람으로 보인다
1479,그는 최선을 다해 노력했다,그는 노력하는 사람으로 보인다,그는 최선을 다해 노력했다. 그는 열심히 노력하는 사람으로 보인다
1480,그는 가려움을 느꼈다,그는 당황스럽다,그는 가려움을 느꼈다. 그는 괴로운 사람으로 보인다
1481,그는 영화를 보고 싶어 했다,그는 즐거워 보인다,그는 영화를 보고 싶어 했다. 그는 흥분한 사람으로 보인다
1482,그는 전화가 울리기 시작했다,그는 바쁘다,그는 전화가 울리기 시작했다. 그는 바쁜 사람으로 보인다
1483,그는 걸을 수 없었다,그는 무력하다,그는 걸을 수 없었다. 그는 무력한 사람으로 보인다
1484,그는 스스로를 아끼는 사람였다,그는 자기 중심적이다,그는 스스로를 아끼는 사람였다. 그는 자기중심적인 사람으로 보인다
1485,그는 정책을 변경했다,그는 결단력이 있다,그는 정책을 변경했다. 그는 결단력 있는 사람으로 보인다
1486,그는 좋아하는 셔츠가 있었다,그는 사소한 것에 신경을 쓰는 편이다,그는 좋아하는 셔츠가 있었다. 그는 자신감 있는 사람으로 보인다
1487,그는 짐을 챙겼다,그는 여행을 갔다,그는 짐을 챙겼다. 그는 철저한 사람으로 보인다
1488,그는 머리를 풀어헤쳤다,그는 혼란스럽다,그는 머리를 풀어헤쳤다. 그는 해방된 사람으로 보인다
1489,그는 그후 기분이 훨씬 나아졌다,그는 안심한 모습이다,그는 그후 기분이 훨씬 나아졌다. 그는 즐거운 사람으로 보인다
1490,그는 셀카를 찍었다,그는 자신에게 자신감이 있다,그는 셀카를 찍었다. 그는 자신에게 관심이 많은 사람으로 보인다
1491,그는 친구들과 팝콘을 나눠 먹었다,그는 사교적이다,그는 친구들과 팝콘을 나눠 먹었다. 그는 사교적인 사람으로 보인다
1492,그는 자신감이 생겼다,그는 자신감 있다,그는 자신감이 생겼다. 그는 당당한 사람으로 보인다
1493,그는 컬렉션에 추가했다,그는 취미가 많다,그는 컬렉션에 추가했다. 그는 열정적인 사람으로 보인다
1494,그는 어젯밤에 잘 잤다,그는 피곤하다,그는 어젯밤에 잘 잤다. 그는 상쾌한 사람으로 보인다
1495,그는 수염을 길렀다,그는 멋있어 보인다,그는 수염을 길렀다. 그는 멋진 사람으로 보인다
1496,그는 눈싸움을 하고 있었다,그는 적대적이다,그는 불편한 사람으로 보인다
1497,그는 저녁을 걸렀다,그는 로맨틱하다,그는 저녁을 걸렀다. 그는 배고픈 사람으로 보인다
1498,그는 아침 일찍부터 일을 시작했다,그는 부지런하다,그는 아침 일찍부터 일을 시작했다. 그는 부지런한 사람으로 보인다
1499,그는 그녀를 좋아하는 것 같았다,그는 호감이 있는 것 같다,그는 그녀를 좋아하는 것 같았다. 그는 로맨틱한 사람으로 보인다
1500,그는 휴대폰을 찾을 수 없었다,그는 분실을 자주 한다,그는 휴대폰을 찾을 수 없었다. 그는 단순한 사람으로 보인다
1501,그는 너무 많이 사용했다,그는 낭비가 심하다,그는 너무 많이 사용했다. 그는 낭비하는 사람으로 보인다
1502,그는 출근을 위해 옷을 입었다,그는 책임감이 있다,그는 출근을 위해 옷을 입었다. 그는 일하는 사람으로 보인다
1503,그는 얼룩을 제거했다,그는 꼼꼼하다,그는 얼룩을 제거했다. 그는 깔끔한 사람으로 보인다
1504,그는 다시 고개를 흔들었다,그는 불만스럽다,그는 다시 고개를 흔들었다. 그는 부정적인 사람으로 보인다
1505,그는 혼자 술을 마셨다,그는 외로움을 느낀다,그는 혼자 술을 마셨다. 그는 외로운 사람으로 보인다
1506,그는 스마트폰을 구입했다,그는 현대적이다,그는 스마트폰을 구입했다. 그는 현대적인 사람으로 보인다
1507,그는 타이어를 걷어찼다,그는 분노에 찬 모습으로 보인다,그는 타이어를 걷어찼다. 그는 화가 난 사람으로 보인다
1508,그는 전에는 한 번도 해본 적이 없었다,그는 경험이 부족하다,그는 전에는 한 번도 해본 적이 없었다. 그는 경험이 부족한 사람으로 보인다
1509,그는 새 스웨터를 구입했다,그는 쇼핑을 좋아하는 사람으로 보인다,그는 새 스웨터를 구입했다. 그는 자신감 있는 사람으로 보인다
1510,그는 친구에게 고마워했다,그는 감사하다,그는 친구에게 고마워했다. 그는 감사한 사람으로 보인다
1511,그는 실수로 발을 헛디뎠었다,그는 어리둥절하다,그는 실수로 발을 헛디뎠었다. 그는 어리석은 사람으로 보인다
1512,그는 두통이 생겼다,그는 불편하다,그는 두통이 생겼다. 그는 아픈 사람으로 보인다
1513,그는 친구에게 조언을 구했다,그는 신뢰할 만하다,그는 친구에게 조언을 구했다. 그는 현명한 사람으로 보인다
1514,그는 탄산음료를 끊었다,그는 건강을 생각하다,그는 탄산음료를 끊었다. 그는 건강한 사람으로 보인다
1515,그는 자리를 찾았다,그는 안정적이다,그는 자리를 찾았다. 그는 만족한 사람으로 보인다
1516,그는 목발을 사용했다,그는 다리가 다친 것 같다,그는 목발을 사용했다. 그는 다친 사람으로 보인다
1517,그는 여자처럼 흐느꼈다,그는 감정적이다,그는 여자처럼 흐느꼈다. 그는 감정적인 사람으로 보인다
1518,그는 가방을 확인했다,그는 신중하다,그는 가방을 확인했다. 그는 꼼꼼한 사람으로 보인다
1519,그는 지갑을 잃어버렸다,그는 당황스럽다,그는 지갑을 잃어버렸다. 그는 당황한 사람으로 보인다
1520,그는 첫 번째 치아를 잃었다,그는 불행한 일이 생겼다,그는 첫 번째 치아를 잃었다. 그는 불행한 사람으로 보인다
1521,그는 데이트 상대를 만났다,그는 행복해 보인다,그는 떨리는 사람으로 보인다
1522,그는 실수로 총을 쐈다,그는 부주의하다,그는 실수로 총을 쐈다. 그는 조심스럽지 않은 사람으로 보인다
1523,그는 나머지를 맡았다,그는 책임감이 있다,그는 나머지를 맡았다. 그는 책임감 있는 사람으로 보인다
1524,그는 머리를 손질했다,그는 깔끔하다,그는 머리를 손질했다. 그는 깔끔한 사람으로 보인다
1525,그는 주차할 차를 찾았다,그는 차를 주차하려고 한다,그는 주차할 차를 찾았다. 그는 기쁜 사람으로 보인다
1526,그는 공에서 눈을 떼지 못했다,그는 집중력이 뛰어나다,그는 공에서 눈을 떼지 못했다. 그는 열정적인 사람으로 보인다
1527,그는 남자친구에게 물어봤다,그는 호기심이 많다,그는 남자친구에게 물어봤다. 그는 궁금한 사람으로 보인다
1528,그는 실수로 폰을 눌러 전화를 걸었다,그는 어리석다,그는 실수로 폰을 눌러 전화를 걸었다. 그는 어리둥절한 사람으로 보인다
1529,그는 학교까지 가는 카풀을 놓쳤다,그는 당황스럽다,그는 학교까지 가는 카풀을 놓쳤다. 그는 당황한 사람으로 보인다
1530,그는 머리를 부딪쳤다,그는 아픕니다,그는 머리를 부딪쳤다. 그는 아픈 사람으로 보인다
1531,그는 친구들을 다시 만나게 되었다,그는 기쁘다,그는 친구들을 다시 만나게 되었다. 그는 기쁜 사람으로 보인다
1532,그는 물을 많이 마셨다,그는 갈증이 많다,그는 물을 많이 마셨다. 그는 목마른 사람으로 보인다
1533,그는 커피를 마시고 싶어 했다,그는 졸리다,그는 커피를 마시고 싶어 했다. 그는 졸린 사람으로 보인다
1534,그는 어느 날 아침 눈을 떴다,그는 새로운 시작을 하려고 한다,그는 어느 날 아침 눈을 떴다. 그는 상쾌한 사람으로 보인다
1535,그는 남자 친구의 부모님을 만났다,그는 긴장되어 있다,그는 남자 친구의 부모님을 만났다. 그는 신중한 사람으로 보인다
1536,그는 하루 종일 울었다,그는 슬프다,그는 하루 종일 울었다. 그는 슬픈 사람으로 보인다
1537,그는 메일을 확인했다,그는 꼼꼼하다,그는 메일을 확인했다. 그는 꼼꼼한 사람으로 보인다
1538,그는 무기를 꺼내들었다,그는 위협적이다,그는 무기를 꺼내들었다. 그는 위협적인 사람으로 보인다
1539,그는 바로 옆에 있었다,그는 친밀하다,그는 바로 옆에 있었다. 그는 친근한 사람으로 보인다
1540,그는 집에 늦게 들어왔다,그는 늦둥이다,그는 집에 늦게 들어왔다. 그는 바쁜 사람으로 보인다
1541,그는 애완 고양이를 키우고 싶어했다,그는 애완동물을 좋아하는 사람으로 보인다,그는 애완 고양이를 키우고 싶어했다. 그는 애착있는 사람으로 보인다
1542,그는 천천히 고개를 흔들었다,그는 동의하지 않는다,그는 천천히 고개를 흔들었다. 그는 이해심 깊은 사람으로 보인다
1543,그는 기사를 읽었다,그는 알려져 있다,그는 기사를 읽었다. 그는 지적인 사람으로 보인다
1544,그는 학교에서 일진행세를 했다,그는 권력을 부리려고 한다,그는 학교에서 일진행세를 했다. 그는 위협적인 사람으로 보인다
1545,그는 드레스를 찾았다,그는 쇼핑을 즐기다,그는 드레스를 찾았다. 그는 만족한 사람으로 보인다
1546,그는 초대를 받았다,그는 사교적이다,그는 초대를 받았다. 그는 특별한 사람으로 보인다
1547,그는 자신의 냄새를 맡았다,그는 이상하다,그는 자신의 냄새를 맡았다. 그는 이상한 사람으로 보인다
1548,그는 가슴에 묻은 더러운 물을 닦아내었다,그는 성실하다,그는 가슴에 묻은 더러운 물을 닦아내었다. 그는 정갈한 사람으로 보인다
1549,그는 늦을 것 같았다,그는 부지런하지 않다,그는 늦을 것 같았다. 그는 서둘러야 하는 사람으로 보인다
1550,그는 키가 커졌다,그는 자랑스럽다,그는 키가 커졌다. 그는 자신감 있는 사람으로 보인다
1551,그는 셔츠에 맥주를 엎질렀다,그는 어설프다,그는 셔츠에 맥주를 엎질렀다. 그는 어설픈 사람으로 보인다
1552,그는 자신에 대해 글을 썼다,그는 자기 중심적이다,그는 자신에 대해 글을 썼다. 그는 솔직한 사람으로 보인다
1553,그는 속눈썹을 깜빡거렸다,그는 깜짝 놀랐다,그는 속눈썹을 깜빡거렸다. 그는 유혹적인 사람으로 보인다
1554,그는 블로그를 시작했다,그는 창의적이다,그는 블로그를 시작했다. 그는 창의적인 사람으로 보인다
1555,그는 그녀의 가슴을 움켜쥐었다,그는 폭력적이다,그는 그녀의 가슴을 움켜쥐었다. 그는 폭력적인 사람으로 보인다
1556,그는 저글링하는 법을 배웠다,그는 재능이 있다,그는 저글링하는 법을 배웠다. 그는 숙련된 사람으로 보인다
1557,그는 뭔가 대단한 사람처럼 들렸다,그는 자신감이 있다,그는 뭔가 대단한 사람처럼 들렸다. 그는 자신감 넘치는 사람으로 보인다
1558,그는 선물을 열어봤다,그는 호기심이 많다,그는 선물을 열어봤다. 그는 궁금한 사람으로 보인다
1559,그는 아침 식사를 준비했다,그는 철저하다,그는 아침 식사를 준비했다. 그는 배부른 사람으로 보인다
1560,그는 남자친구와 헤어졌다,그는 심란하다,그는 남자친구와 헤어졌다. 그는 슬픈 사람으로 보인다
1561,그는 어쨌든 하나를 사기로 결심했다,그는 결단력이 있다,그는 어쨌든 하나를 사기로 결심했다. 그는 결단력 있는 사람으로 보인다
1562,그는 수영을 하고 싶어했다,그는 즐거워 보인다,그는 수영을 하고 싶어했다. 그는 시원한 사람으로 보인다
1563,그는 보안팀을 호출했다,그는 안전을 중요시한다,그는 보안팀을 호출했다. 그는 조심스러운 사람으로 보인다
1564,그는 도시를 탐험했다,그는 호기심이 많다,그는 도시를 탐험했다. 그는 호기심 많은 사람으로 보인다
1565,그는 다른 차를 들이받았다,그는 운전이 서투르다,그는 다른 차를 들이받았다. 그는 부주의한 사람으로 보인다
1566,그는 사탕을 찾았다,그는 기쁘다,그는 사탕을 찾았다. 그는 기쁜 사람으로 보인다
1567,그는 올해도 참석했다,그는 충실하다,그는 올해도 참석했다. 그는 충실한 사람으로 보인다
1568,그는 썰매를 타러 갔다,그는 겨울을 즐긴다,그는 썰매를 타러 갔다. 그는 즐거운 사람으로 보인다
1569,그는 여자 친구에게 전화했다,그는 로맨틱하다,그는 여자 친구에게 전화했다. 그는 사랑스러운 사람으로 보인다
1570,그는 퇴근 후 집에 도착했다,그는 피곤한 모습이다,그는 피곤한 사람으로 보인다
1571,그는 순간을 영원처럼 느꼈다,그는 행복하다,그는 순간을 영원처럼 느꼈다. 그는 행복한 사람으로 보인다
1572,그도 자신을 좋아했다,그는 자신감이 있다,그도 자신을 좋아했다. 그는 자만심 있는 사람으로 보인다
1573,그는 똑같이 반을 나눴다,그는 공평하다,그는 똑같이 반을 나눴다. 그는 공평한 사람으로 보인다
1574,그는 하루 종일 TV를 시청했다,그는 게으르다,그는 하루 종일 TV를 시청했다. 그는 게으른 사람으로 보인다
1575,그는 등산을 좋아했다,그는 활동적이다,그는 등산을 좋아했다. 그는 활동적인 사람으로 보인다
1576,그는 결국 그 사실을 알게 되었다,그는 궁금해하다,그는 결국 그 사실을 알게 되었다. 그는 충격받은 사람으로 보인다
1577,그는 우편으로 편지를 받았다,그는 사교적이다,그는 우편으로 편지를 받았다. 그는 기쁜 사람으로 보인다
1578,그는 그녀를 돌봤다,그는 배려심이 깊다,그는 그녀를 돌봤다. 그는 배려심 있는 사람으로 보인다
1579,그는 소변을 많이 봤다,그는 탈수되었다,그는 소변을 많이 봤다. 그는 건강한 사람으로 보인다
1580,그는 좋은 밤을 보내었다,그는 행복하다,그는 좋은 밤을 보내었다. 그는 행복한 사람으로 보인다
1581,그는 새 휴대폰이 필요했다,그는 필요가 있다,그는 새 휴대폰이 필요했다. 그는 현명한 사람으로 보인다
1582,그는 심해 낚시에 나섰다,그는 모험심이 강하다,그는 심해 낚시에 나섰다. 그는 용감한 사람으로 보인다
1583,그는 입소문이 났다,그는 유명하다,그는 입소문이 났다. 그는 유명한 사람으로 보인다
1584,그는 코끝을 손으로 치켜올렸다,그는 거만하다,그는 코끝을 손으로 치켜올렸다. 그는 거만한 사람으로 보인다
1585,그는 저녁 식사로 피자를 주문했다,그는 게으르다,그는 저녁 식사로 피자를 주문했다. 그는 게으른 사람으로 보인다
1586,그는 아버지와 함께 낚시를 하러 갔다,그는 가족을 소중히 여기는 사람으로 보인다,그는 아버지와 함께 낚시를 하러 갔다. 그는 가족을 소중히 여기는 사람으로 보인다
1587,그는 새 토스터기를 구입했다,그는 집에서 많은 시간을 보내다,그는 새 토스터기를 구입했다. 그는 집에서 요리하는 사람으로 보인다
1588,그는 아이스 스케이트를 타러 갔다,그는 활동적이다,그는 아이스 스케이트를 타러 갔다. 그는 운동을 좋아하는 사람으로 보인다
1589,그는 집으로 돌아가는 버스를 찾았다,그는 기쁘다,그는 집으로 돌아가는 버스를 찾았다. 그는 기쁜 사람으로 보인다
1590,그는 바이올린을 배웠다,그는 예술적이다,그는 바이올린을 배웠다. 그는 예술적인 사람으로 보인다
1591,그는 숲에서 길을 잃었다,그는 방황하는 사람으로 보인다,그는 숲에서 길을 잃었다. 그는 당황한 사람으로 보인다
1592,그는 농구팀에 합류했다,그는 경쟁적이다,그는 농구팀에 합류했다. 그는 열정적인 사람으로 보인다
1593,그는 1981년에 결혼했다,그는 결혼을 했다,그는 1981년에 결혼했다. 그는 낭만적인 사람으로 보인다
1594,그는 학교에 갈 옷을 입었다,그는 교육을 중요시한다,그는 학교에 갈 옷을 입었다. 그는 꾸민 사람으로 보인다
1595,그는 가까이 다가왔다,그는 친근하다,그는 가까이 다가왔다. 그는 친근한 사람으로 보인다
1596,그는 베이비 샤워가 있었다,그는 가족 중심적이다,그는 베이비 샤워가 있었다. 그는 가족을 소중히 여기는 사람으로 보인다
1597,그는 귀여워 보였다,그는 매력적이다,그는 귀여워 보였다. 그는 사랑스러운 사람으로 보인다
1598,그는 어디서부터 시작해야 할지 몰랐다,그는 주도력이 부족하다,그는 어디서부터 시작해야 할지 몰랐다. 그는 주저하는 사람으로 보인다
1599,그는 삼촌의 농장을 방문했다,그는 농촌적이다,그는 삼촌의 농장을 방문했다. 그는 행복한 사람으로 보인다
1600,그는 아마존에서 노트북을 주문했다,그는 편리함을 추구한다,그는 아마존에서 노트북을 주문했다. 그는 온라인 쇼핑을 좋아하는 사람으로 보인다
1601,그는 친구들과 함께 앉아 있었다,그는 사교적이다,그는 친구들과 함께 앉아 있었다. 그는 사교적인 사람으로 보인다
1602,그는 연을 날리러 갔다,그는 자유로워 보인다,그는 연을 날리러 갔다. 그는 자유로운 사람으로 보인다
1603,그는 자랑하며 시간을 보내었다,그는 자만심이 강하다,그는 자랑하며 시간을 보내었다. 그는 건방진 사람으로 보인다
1604,그는 바닥에 구토물을 봤다,그는 술에 취했다,그는 바닥에 구토물을 봤다. 그는 역겨운 사람으로 보인다
1605,그는 어디서든 그녀를 찾았다,그는 끈기가 있다,그는 어디서든 그녀를 찾았다. 그는 끈질긴 사람으로 보인다
1606,그는 정말 추위를 느꼈다,그는 춥다,그는 정말 추위를 느꼈다. 그는 얼어 죽을 것 같은 사람으로 보인다
1607,그는 친구에게 연락했다,그는 사교적이다,그는 친구에게 연락했다. 그는 사교적인 사람으로 보인다
1608,그는 게임을 플레이했다,그는 게임 중독이다,그는 게임을 플레이했다. 그는 중독된 사람으로 보인다
1609,그는 헬멧을 쓰고 있었다,그는 안전을 중요시한다,그는 헬멧을 쓰고 있었다. 그는 안전을 중요시하는 사람으로 보인다
1610,그는 옷을 갈아입었다,그는 변화를 추구한다,그는 옷을 갈아입었다. 그는 변모한 사람으로 보인다
1611,그는 첫 차를 구입했다,그는 자립적이다,그는 첫 차를 구입했다. 그는 자립적인 사람으로 보인다
1612,그는 자신의 차를 찾았다,그는 안도하다,그는 자신의 차를 찾았다. 그는 안도한 사람으로 보인다
1613,그는 서핑하는 법을 배웠다,그는 적극적이다,그는 서핑하는 법을 배웠다. 그는 능숙한 사람으로 보인다
1614,그는 스케이트보드를 구입했다,그는 활동적이다,그는 스케이트보드를 구입했다. 그는 새로운 취미를 찾은 사람으로 보인다
1615,그는 정말 아팠다,그는 고통스럽다,그는 정말 아팠다. 그는 힘들어 보이는 사람으로 보인다
1616,그는 다른 차량과 충돌했다,그는 운전이 서투르다,그는 다른 차량과 충돌했다. 그는 운이 나쁜 사람으로 보인다
1617,그는 압도적인 차이로 승리했다,그는 우월하다,그는 압도적인 차이로 승리했다. 그는 우월한 사람으로 보인다
1618,그는 소음을 들었다,그는 까다롭다,그는 소음을 들었다. 그는 신경질적인 사람으로 보인다
1619,그는 새 옷이 필요했다,그는 소홀하다,그는 새 옷이 필요했다. 그는 구식한 사람으로 보인다
1620,그는 대출을 받았다,그는 경제적으로 어렵다,그는 대출을 받았다. 그는 금전에 얽매인 사람으로 보인다
1621,그는 어쨌든 그녀를 사랑했다,그는 충실하다,그는 어쩌면 용감한 사람으로 보인다
1622,그는 잠깐 낮잠을 잤다,그는 피곤하다,그는 잠깐 낮잠을 잤다. 그는 피곤한 사람으로 보인다
1623,그는 파티를 주최했다,그는 활발하다,그는 파티를 주최했다. 그는 활발한 사람으로 보인다
1624,그는 그다음에 서 있었다,그는 혼란스럽다,그는 그다음에 서 있었다. 그는 차분한 사람으로 보인다
1625,그는 머리를 끄덕였다,그는 동의하다,그는 머리를 끄덕였다. 그는 동의하는 사람으로 보인다
1626,그는 강아지를 발견했다,그는 호의적이다,그는 강아지를 발견했다. 그는 행복한 사람으로 보인다
1627,그는 토스트를 먹었다,그는 보통 사람이다,그는 허기진 사람으로 보인다
1628,그는 결국 결심했다,그는 결단력이 있다,그는 결국 결심했다. 그는 결단력 있는 사람으로 보인다
1629,그는 제 개를 데리고 산책을 나갔다,그는 책임감 있는 사람으로 보인다,그는 제 개를 데리고 산책을 나갔다. 그는 애완동물을 사랑하는 사람으로 보인다
1630,그는 아직 갈 길이 멀었다,그는 노력하는 사람으로 보인다,그는 아직 갈 길이 멀었다. 그는 피곤한 사람으로 보인다
1631,그는 나무에 부딪혔다,그는 운이 없다,그는 나무에 부딪혔다. 그는 우둔한 사람으로 보인다
1632,그는 숨바꼭질을 하고 있었다,그는 어리광을 부린다,그는 숨바꼭질을 하고 있었다. 그는 장난기 많은 사람으로 보인다
1633,그는 고양이를 발견했다,그는 귀엽다,그는 고양이를 발견했다. 그는 사랑스러운 사람으로 보인다
1634,그는 자신의 신발을 찾았다,그는 안도하다,그는 자신의 신발을 찾았다. 그는 안도한 사람으로 보인다
1635,그는 온몸이 젖었다,그는 축축하다,그는 온몸이 젖었다. 그는 춥고 불편한 사람으로 보인다
1636,그는 스트라이크를 받았다,그는 실패를 경험했다,그는 스트라이크를 받았다. 그는 실망한 사람으로 보인다
1637,그는 쇼를 시청했다,그는 취미가 다양하다,그는 쇼를 시청했다. 그는 즐거운 사람으로 보인다
1638,그는 갱단에 가입했다,그는 위험하다,그는 갱단에 가입했다. 그는 위험한 사람으로 보인다
