,input,A,B,B2
1203,그는 함께 영화를 봤다,그는 영화에 대해 이야기하다,그는 함께 영화를 봤다. 이는 그가 전화를 받기 전에 일어났다,그는 함께 영화를 봤다. 그 후에 식사를 하러 식당으로 갔다
1204,그는 심지어 고용도 했다,그는 자신의 꿈을 이루었다,그는 심지어 고용도 했다. 이는 그가 졸업하기 전에 일어났다,그는 심지어 고용도 했다. 그 후에 그는 회사에서 승진을 받았다
1205,그는 좋아하는 동물 인형이 있었다,그는 그 동물 인형을 친구에게 선물하다,그는 좋아하는 동물 인형이 있었다. 이는 그가 자신의 침대에 눕기 전에 일어났다,그는 그 인형을 친구에게 선물했다
1206,그는 기분이 좋아지기 시작했다,그는 웃음을 터뜨리다,그는 기분이 좋아지기 시작했다. 이는 그가 친구들과 함께 시간을 보내기 전에 일어났다,그는 기분이 좋아지기 시작했다. 그 후에 그의 일상은 밝아졌다
1207,그는 대학에 입학했다,그는 새로운 친구들을 사귀다,그는 대학에 입학했다. 이는 그가 꿈을 이루기 전에 일어났다,그는 대학에 입학했다. 그 후에 새로운 친구들을 사귀기 시작했다
1208,그는 투표함에 투표용지를 넣었다,그는 투표를 마치고 집으로 돌아갔다,그는 투표함에 투표용지를 넣었다. 이는 그가 선거권을 행사하기 전에 일어났다,그는 투표함에 투표용지를 넣었다. 그 후에 선거 결과를 기다렸다
1209,그는 그녀를 어디서나 찾을 수 있었다,그는 그녀에게 스토킹을 하다가 법정에서 처벌받다,그는 그녀를 어디서나 찾을 수 있었다. 이는 그가 그녀의 휴대전화를 꺼내기 전에 일어났다,그는 그녀를 어디서나 찾을 수 있었다. 그 후에 그녀와 재회하여 행복한 시간을 보냈다
1210,그는 길거리에서 지갑을 발견했다,그는 주변을 둘러보고 주인을 찾아보다 결국 경찰에게 맡기다,그는 길거리에서 지갑을 발견했다. 이는 주인이 그것을 찾기 전에 일어났다,그는 길거리에서 지갑을 발견했다. 그 후에 주변을 둘러보고 주인을 찾았다
1211,그는 마시멜로를 구웠다,그는 마시멜로를 굽고 케이크를 만들었다,그는 마시멜로를 구웠다. 이는 그가 캠프파이어를 끄기 전에 일어났다,그는 마시멜로를 구웠다. 그 후에 그녀와 함께 캠프파이어를 즐겼다
1212,그는 수영장 파티가 있었다,그는 친구들과 수영을 즐기다,그는 수영장 파티가 있었다. 이는 그가 해변으로 이동하기 전에 일어났다,그는 다음날 아침에 수영장에서 물에 빠졌다
1213,그는 어쨌든 달렸다,그는 결국 목적지에 도착했다,그는 어쨌든 달렸다. 이는 경찰에게 붙잡히기 전에 일어났다,그는 결국 목적지에 도착했다
1214,그는 첫 키스를 받았다,그는 설레는 마음으로 웃다,그는 첫 키스를 받았다. 이는 그가 고백하기 전에 일어났다,그는 첫 키스를 받았다. 그 후에 그는 심장이 뛰는 소리를 들을 수 있었다
1215,그는 입에 화상을 입었다,그는 음식을 더 조심스럽게 다루다,그는 입에 화상을 입었다. 이는 식사를 먹기 전에 일어났다,그는 입에 화상을 입었다. 그 후에 그는 아이스크림을 먹어서 치료했다
1216,그는 골을 넣었다,경기에서 승리하다,그는 골을 넣었다. 이는 경기가 끝나기 전에 일어났다,그는 축하받았다
1217,그는 그녀의 혀를 깨물었다,그녀에게 물어버리다,그는 그녀의 혀를 깨물었다. 이는 그가 자신의 행동을 후회하기 전에 일어났다,그는 그녀에게 사과했다
1218,그는 권리를 침해했다,그는 소송을 당하다,그는 권리를 침해했다. 이는 그가 법적 조치를 당하기 전에 일어났다,그는 법적인 조치를 당했다
1219,그는 따뜻함을 유지했다,그는 감기에 걸리지 않다,그는 따뜻함을 유지했다. 이는 추위에 노출되기 전에 일어났다,그는 좋은 건강을 유지했다. 그 후에 병원에 가지 않았다
1220,그는 갑자기 쓰러졌다,그는 응급실로 실려가다,그는 갑자기 쓰러졌다. 이는 의료진이 도착하기 전에 일어났다,그는 병원으로 실려갔다
1221,그는 홈런을 쳤다,그는 팀원들에게 박수를 받다,그는 홈런을 쳤다. 이는 그가 야구장을 떠나기 전에 일어났다,그는 홈런을 쳤다. 그 후에 관중들은 박수를 치며 환호했다
1222,그는 두 다리가 부러졌다,그는 병원으로 신속히 이송되었다,그는 높은 산을 등반하기 전에 일어났다,그는 병원으로 신속히 이송되었다
1223,그는 1년 후 결혼을 했다,그는 신혼여행을 다녀오다,그는 1년 후 결혼을 했다. 이는 그가 그녀를 만나기 전에 일어났다,그는 가정을 이루고 행복한 삶을 살았다
1224,그는 매우 아파졌다,그는 병원에 입원해야 했다,그는 매우 아파졌다. 이는 의사에게 진찰을 받기 전에 일어났다,그는 병원에 실려갔다
1225,그는 TV를 시청했다,그는 다음날 일찍 일어나지 못했다,그는 TV를 시청했다. 이는 자기 취미에 빠져들기 전에 일어났다,그는 TV를 시청했다. 그 후에 그는 잠이 들었다
1226,그는 수업을 시작했다,그는 학생들에게 자신의 강의 계획을 소개하다,그는 수업을 시작했다. 이는 그가 학교에 늦기 전에 일어났다,그는 수업을 시작했다. 그 후에 그는 공부를 열심히 했다
1227,그는 택시를 호출했다,그는 목적지에 도착하다,그는 택시를 호출했다. 이는 비가 오기 전에 일어났다,그는 목적지에 도착했다
1228,그는 열쇠를 찾을 수 없었다,그는 문을 열 수 없었다,그는 열쇠를 찾을 수 없었다. 이는 집을 나가기 전에 일어났다,그는 집 안을 철저히 뒤져서 열쇠를 찾았다
1229,그는 학교로 돌아갔다,그는 졸업증명서를 받으러 갔다,그는 학교로 돌아갔다. 이는 그가 자신의 교육을 완료하기 전에 일어났다,그는 학교로 돌아갔다. 그 후에 졸업을 위해 열심히 공부했다
1230,그는 배고파 보였다,그는 빵 한 조각을 먹었다,그는 배고파 보였다. 이는 점심을 먹기 전에 일어났다,그는 식당으로 향했다
1231,그는 새 친구를 사귀게 되었다,그는 새로운 사람을 만나게 되다,그는 새 친구를 사귀게 되었다. 이는 전에 일어난 적이 없었다,그는 새로운 취향과 관심사를 발견했다
1232,그는 큰 충돌 소리를 들었다,그는 주변을 둘러보며 무엇이 일어났는지 확인하다,그는 큰 충돌 소리를 들었다. 이는 그가 안전벨트를 착용하기 전에 일어났다,그는 큰 충돌 소리를 들었다. 그 후에 그는 자동차 사고 현장을 확인하러 달려갔다
1233,그는 사다리를 잡았다,그는 위로 올라가다,그는 사다리를 잡았다. 이는 그가 높은 곳에 올라가기 전에 일어났다,그는 사다리를 잡았다. 그 후에 그는 천장에 올라갔다
1234,그는 헌혈을 했다,그는 다음날에는 피로 회복해야 했다,그는 헌혈을 했다. 이는 그가 심각한 사고를 당하기 전에 일어났다,그는 헌혈을 했다. 그 후에 그는 기분이 좋아졌다
1235,그는 맹장을 제거했다,그는 수술 후 회복하다,그는 맹장을 제거했다. 이는 병이 악화되기 전에 일어났다,그는 회복 기간을 겪었다
1236,그는 회사를 창업했다,그는 성공적으로 사업을 키우다,그는 회사를 창업했다. 이는 경영자가 되기 전에 일어났다,그는 회사를 창업했다. 그 후에 그는 많은 이익을 올렸다
1237,그는 가슴에 통증이 있었다,그는 응급실에 신고하다,그는 가슴에 통증이 있었다. 이는 응급실에 실려가기 전에 일어났다,그는 가슴에 통증이 있었다. 그 후에 응급실로 신속히 이동했다
1238,그는 다시 잠이 들었다,그는 꿈을 꾸다,그는 다시 잠이 들었다. 이는 알람이 울리기 전에 일어났다,그는 꿈 속에서 모험을 계속했다
1239,그는 훨씬 더 잘 자고 있었다,그는 다음날 더 많은 에너지를 가지고 일어나다,그는 훨씬 더 잘 자고 있었다. 이는 알람이 울리기 전에 일어났다,그는 피곤함을 느끼지 않았다
1240,그는 장난감을 변기에 버렸다,그는 배관업체에 전화해서 문제를 해결하다,그는 장난감을 변기에 버렸다. 이는 그가 엄마에게 발각되기 전에 일어났다,그는 수리공을 불러야 했다
1241,그는 발소리를 들었다,그는 주변을 둘러보다,그는 발소리를 들었다. 이는 그가 누군가가 다가오기 전에 일어났다,그는 발소리를 들었다. 그 후에 그는 주변을 둘러보았다
1242,그는 가족 여행 중였다,그는 즐거운 추억을 만들었다,그는 가족 여행 중였다. 이는 그가 비행기를 타기 전에 일어났다,그는 가족 여행 중였다. 그 후에 모두가 피곤해져서 호텔로 돌아갔다
1243,그는 더 높이 점프했다,그는 더 멀리 뛰어넘다,그는 더 높이 점프했다. 이는 그가 안전장비를 착용하기 전에 일어났다,그는 다리를 다쳤다
1244,그는 첫 키스를 했다,그는 설레는 마음으로 집에 돌아가다,그는 첫 키스를 했다. 이는 그가 심장을 뛰게 하기 전에 일어났다,그는 첫 키스를 했다. 그 후에 그녀와의 관계가 더욱 깊어졌다
1245,그는 드디어 입을 열었다,그는 진실을 고백하다,그는 드디어 입을 열었다. 이는 그가 너무 오래 침묵하기 전에 일어났다,그는 드디어 입을 열었다. 그 후에 모든 것이 해결되었다
1246,그는 목소리가 커졌다,그는 다른 사람과 말다툼을 벌였다,그는 목소리가 커졌다. 이는 그가 주변 소음 때문에 들리지 않을까봐 걱정하기 전에 일어났다,그는 주변 사람들이 놀라게 했다. 그 후에 주위가 조용해졌다
1247,그는 손목이 부러졌다,그는 병원에 가서 금속 핀을 받았다,그는 손목이 부러졌다. 이는 스케이트보드를 타기 전에 일어났다,그는 병원에 가서 손목을 고친 후에 회복했다
1248,그는 자전거를 찾았다,그는 자전거 타기를 즐기다,그는 자전거를 찾았다. 이는 그가 출발하기 전에 일어났다,그는 자전거를 찾았다. 그 후에 그는 새로운 운동을 즐기기 시작했다
1249,그는 축구팀에 합류했다,그는 훈련을 받다,그는 축구팀에 합류했다. 이는 그가 훈련을 시작하기 전에 일어났다,그는 팀원들과 함께 열심히 연습했다
1250,그는 사탕을 많이 받았다,그는 치아에 구멍이 생기다,그는 사탕을 많이 받았다. 이는 할로윈 파티에 가기 전에 일어났다,그는 사탕을 많이 받았다. 그 후에 그는 치아가 아팠다
1251,그는 팔을 흔들었다,그는 주변 사람들에게 인사하다,그는 팔을 흔들었다. 이는 그가 친구를 인사하기 전에 일어났다,그는 주변 사람들에게 인사를 했다
1252,그는 그녀를 혼쭐내줬다,그녀는 그를 떠나다,그는 그녀를 혼쭐내줬다. 이는 그가 자신의 감정을 억누르지 못한 후에 일어났다,그는 그녀를 혼쭐내줬다. 그 후에 사과했다
1253,그는 사랑니를 발치했다,그는 입안이 아프다,그는 사랑니를 발치했다. 이는 그가 통증을 견디기 전에 일어났다,그는 사랑니를 발치했다. 그 후에 아픔을 느꼈다
1254,그는 학위를 취득했다,그는 졸업식에 참석하다,그는 학위를 취득했다. 이는 그가 대학을 졸업하기 전에 일어났다,그는 학위를 취득했다. 그 후에 그는 원하는 직장에 취직했다
1255,그는 자신을 때렸다,그는 후회하고 사과했다,그는 자신을 때렸다. 이는 그가 다른 사람에게 피해를 주기 전에 일어났다,그는 자신을 때렸다. 그 후에 그는 후회의 눈물을 흘렸다
1256,그는 새 휴대폰을 구입했다,그는 이전에 저장한 데이터를 모두 복원했다,그는 새 휴대폰을 구입했다. 이는 기존 휴대폰이 고장나기 전에 일어났다,그는 새 휴대폰을 구입했다. 그 후에 이전에 저장한 데이터를 새로운 휴대폰으로 옮겼다
1257,그는 탭댄스를 배웠다,그는 뮤지컬에 출연하다,그는 탭댄스를 배웠다. 이는 공연을 하기 전에 일어났다,그는 탭댄스를 배웠다. 그 후에 그는 댄스 대회에서 1등을 차지했다
1258,그는 친구와 가족을 초대했다,그는 파티를 열다,그는 친구와 가족을 초대했다. 이는 그가 음식을 준비하기 전에 일어났다,그는 친구와 가족을 초대했다. 그 후에 파티가 열렸다
1259,그는 영화를 골랐다,그는 영화를 보러 극장에 가다,그는 영화를 골랐다. 이는 그가 티켓을 구매하기 전에 일어났다,그는 영화를 골랐다. 그 후에 그는 팝콘을 사러 갔다
1260,그는 2위를 차지했다,그는 은메달을 획득하다,그는 2위를 차지했다. 이는 그가 1등을 향해 달리기 시작하기 전에 일어났다,그는 자신의 능력을 더욱 향상시키기로 결심했다
1261,그는 정말 웃겼다,주변 사람들도 함께 웃었다,그는 정말 웃겼다. 이는 그가 누구나 웃게 하기 전에 일어났다,그는 정말 웃겼다. 그 후에 주변 사람들도 모두 웃었다
1262,그는 곧 올 예정였다,그는 도착하다,그는 곧 올 예정였다. 이는 그가 갑자기 취소하기 전에 일어났다,그는 곧 올 예정였다. 그 후에 갑자기 연락이 끊겼다
1263,그는 그럼에도 팀을 구성했다,그는 경쟁을 이기다,그는 그럼에도 팀을 구성했다. 이는 실패를 두려워하지 않기 전에 일어났다,그는 그럼에도 팀을 구성했다. 그 후에 모든 어려움을 극복하고 프로젝트를 성공적으로 완료했다
1264,그는 의사와 상담했다,그는 건강 상태가 좋아지다,그는 의사와 상담했다. 이는 그가 병원에 가기 전에 일어났다,그는 의사와 상담했다. 그 후에 그는 건강상태가 좋아졌다
1265,그는 저녁 파티가 있었다,그는 다음날 아침에 머리가 아팠다,그는 저녁 파티가 있었다. 이는 그가 요리를 시작하기 전에 일어났다,그는 저녁 파티가 있었다. 그 후에 친구들과 함께 노래를 부르고 춤을 추었다
1266,그는 고등학교에 입학했다,그는 새로운 친구들을 사귀다,그는 고등학교에 입학했다. 이는 그가 학교를 선택하기 전에 일어났다,그는 새로운 친구들을 사귀었다. 그 후에 학교 생활이 즐겁게 시작되었다
1267,그는 하루 종일 기다렸다,그는 실망하고 집으로 돌아갔다,그는 하루 종일 기다렸다. 이는 그가 실망하기 전에 일어났다,그는 하루 종일 기다렸다. 그 후에 그가 기다리던 사람이 도착했다
1268,그는 그녀 위에서 안식을 취했다,그녀는 그를 떠나지 못하다,그는 그녀 위에서 안식을 취했다. 이는 그가 마지막 숨을 거두기 전에 일어났다,그는 그녀 위에서 안식을 취했다. 그 후에 그녀가 깨어나지 않았다
1269,그는 부모님을 찾았다,그는 안전한 곳으로 돌아가다,그는 부모님을 찾았다. 이는 결혼식을 올리기 전에 일어났다,그는 부모님을 찾았다. 그 후에 가족과 다시 행복한 시간을 보냈다
1270,그는 저녁 식사로 햄버거를 먹었다,그는 속이 아프다,그는 저녁 식사로 햄버거를 먹었다. 이는 그가 다이어트를 시작하기 전에 일어났다,그는 속이 부어서 걷기가 힘들었다
1271,그는 어쨌든 그것을 마셨다,그는 술에 취해 사고를 치다,그는 어쨌든 그것을 마셨다. 이는 그가 술병에 걸리기 전에 일어났다,그는 어쨌든 그것을 마셨다. 그 후에 속이 메스꺼웠다
1272,그는 팔을 다쳤다,그는 병원에 가서 치료를 받다,그는 팔을 다쳤다. 이는 그가 안전띠를 착용하지 않기 전에 일어났다,그는 팔을 다쳤다. 그 후에 몇 주 동안 회복을 위해 휴식을 취했다
1273,그는 골프 치는 법을 배웠다,그는 친구들과 함께 골프를 즐기다,그는 골프 치는 법을 배웠다. 이는 그가 골프 대회에 참가하기 전에 일어났다,그는 골프 치는 법을 배웠다. 그 후에 그는 친구들과 함께 골프를 즐겼다
1274,그는 상자를 찾았다,그는 상자 안에 보물을 발견했다,그는 상자를 찾았다. 이는 그가 포장지를 제거하기 전에 일어났다,그는 상자를 열어보았다. 그 후에 그는 소중한 보물을 발견했다
1275,그는 검진을 받았다,그는 건강한 결과를 받다,그는 검진을 받았다. 이는 병이 악화되기 전에 일어났다,그는 검진을 받았다. 그 후에 아무 이상이 없었다
1276,그는 다리를 부러뜨렸다,그는 병원에 신속히 이송되어 치료를 받았다,그는 다리를 부러뜨렸다. 이는 그가 스포츠를 그만두기 전에 일어났다,그는 수술을 받아 회복했다
1277,그는 물건을 카운터로 가져갔다,그는 물건을 구입하다,그는 물건을 카운터로 가져갔다. 이는 그가 지갑을 확인하기 전에 일어났다,그는 물건을 카운터로 가져갔다. 그 후에 결제를 하고 집으로 돌아갔다
1278,그는 멋져 보였다,그는 자신감 넘치게 행동했다,그는 멋져 보였다. 이는 옷을 고르기 전에 일어났다,그는 자신에게 자신감을 갖게 되었다
1279,그는 여자 친구를 초대했다,그녀와 함께 식사를 하다,그는 여자 친구를 초대했다. 이는 그가 집을 정리하기 전에 일어났다,그는 여자 친구를 초대했다. 그 후에 그녀는 기뻐했고 함께 좋은 시간을 보냈다
1280,그는 심하게 화상을 입었다,그는 병원으로 실려갔다,그는 심하게 화상을 입었다. 이는 그가 불에 닿기 전에 일어났다,그는 심하게 화상을 입었다. 그 후에 응급실로 실려갔다
1281,그는 다이어트를 시작했다,그는 목표 체중을 달성하다,그는 다이어트를 시작했다. 이는 그가 건강상의 문제가 발생하기 전에 일어났다,그는 체중이 감소했다
1282,그는 자판기에서 탄산음료를 가져왔다,그는 음료수를 마시다,그는 자판기에서 탄산음료를 가져왔다. 이는 그가 목이 말라서 일어나기 전에 일어났다,그는 자판기에서 탄산음료를 가져왔다. 그 후에 그는 음료를 마시고 즐거운 시간을 보냈다
1283,그는 기분이 나아졌다,그는 긍정적으로 생각하다,그는 기분이 나아졌다. 이는 친구들과 소통하기 전에 일어났다,그는 기분이 나아졌다. 그 후에 그는 친구들과 함께 외식을 하러 갔다
1284,그는 메모를 받았다,그는 중요한 일정을 잊지 않도록 휴대폰에 저장하다,그는 메모를 받았다. 이는 회의에 참석하기 전에 일어났다,그는 메모를 받았다. 그 후에 중요한 회의 일정을 확인했다
1285,그는 시험을 놓쳤다,그는 수업을 다시 듣기로 했다,그는 시험을 놓쳤다. 이는 알람이 울리기 전에 일어났다,그는 시험을 놓쳤다. 그 후에 그는 교수님께 사정을 설명했다
1286,그는 강아지를 데려왔다,그는 새로운 반려동물을 키우기 시작했다,그는 강아지를 데려왔다. 이는 그가 강아지를 입양하기 전에 일어났다,그는 강아지를 데려왔다. 그 후에 그의 집은 더 활기찬 곳이 되었다
1287,그는 퇴근 후 집에 돌아왔다,그는 저녁 식사를 준비하다,그는 퇴근 후 집에 돌아왔다. 이는 그가 저녁 식사를 하기 전에 일어났다,그는 티비를 보다가 잠들었다
1288,그는 너무 즐겼다,그는 다음날 아프다,그는 너무 즐겼다. 이는 술에 중독되기 전에 일어났다,그는 너무 즐겼다. 그 후에 다음날 아침에 두통이 시작되었다
1289,그는 수영하러 갔다,그는 시원한 물에서 즐거운 시간을 보냈다,그는 수영하러 갔다. 이는 그가 수영복을 입기 전에 일어났다,그는 시원한 물에서 즐겁게 수영을 즐겼다
1290,그는 새 매트리스를 구입했다,그는 편안하게 잠을 잤다,그는 새 매트리스를 구입했다. 이는 기존 매트리스가 더 이상 사용할 수 없게 되기 전에 일어났다,그는 훨씬 더 편안하게 잠을 잘 수 있었다
1291,그는 머리를 긁적였다,그는 이불 속에서 숨을 죽이다,그는 머리를 긁적였다. 이는 그가 샴푸를 바르기 전에 일어났다,그는 머리카락이 떨어졌다. 그 후에 그는 머리를 깎았다
1292,그는 할머니를 방문했다,그는 할머니와 함께 시간을 보내다,그는 할머니를 방문했다. 이는 그녀가 병원에 입원하기 전에 일어났다,그는 할머니를 방문했다. 그 후에 많은 이야기를 들었다
1293,그는 대사를 잊어버렸다,그는 당황하여 말을 잃다,그는 대사를 잊어버렸다. 이는 무례한 말을 하기 전에 일어났다,그는 대사를 잊어버렸다. 그 후에 그는 부끄러워했다
1294,그는 그녀를 닮은 것 같았다,그는 자신의 얼굴을 거울에 비추어 보다,그는 그녀를 닮은 것 같았다. 이는 거울을 보기 전에 일어났다,그는 그녀의 친척이었다. 그 후에 그들은 가족 관계를 알게 되었다
1295,그는 한 입 베어물었다,그는 다리를 잃었다,그는 한 입 베어물었다. 이는 그가 먹기 전에 일어났다,그는 아프게 되었다
1296,그는 엄지손가락을 빨고 있었다,그는 긴장을 풀고 있었다,그는 엄지손가락을 빨고 있었다. 이는 그가 스트레스를 푸는 대신 담배를 피우기 전에 일어났다,그는 엄지손가락을 빨고 있었다. 그 후에 그의 어머니가 그것을 멈추라고 말했다
1297,그는 이 아이템에 대한 리콜을 진행했다,그는 소비자들에게 환불을 제공했다,그는 이 아이템에 대한 리콜을 진행했다. 이는 사고가 발생하기 전에 일어났다,그는 소비자들에게 안전을 위해 제품을 반환하라고 요청했다
1298,그는 돈이 좀 필요했다,그는 은행에서 대출을 신청하다,그는 돈이 좀 필요했다. 이는 그가 친구에게 돈을 빌리기 전에 일어났다,그는 돈이 좀 필요했다. 그 후에 친구에게 도움을 요청했다
1299,그의 말이 맞았다,그는 모두를 설득하다,그의 말이 맞았다. 이는 그가 증거를 제시하기 전에 일어났다,그의 말이 맞았다. 그 후에 다른 사람들은 그를 더 신뢰했다
1300,그는 순진무구했다,그는 사기당하다,그는 순진무구했다. 이는 그가 속은 줄 모르고 돈을 빌려주기 전에 일어났다,그는 많은 사기를 당했다
1301,그는 옷장을 업데이트했다,그는 옷장을 정리하고 기부하다,그는 옷장을 업데이트했다. 이는 새로운 계절이 시작되기 전에 일어났다,그는 새로운 옷을 사러 쇼핑을 갔다
1302,그는 집에 가자고 했다,그는 일정을 마치고 집으로 돌아가다,그는 집에 가자고 했다. 이는 그가 비바람이 올 것을 미리 알기 전에 일어났다,그는 집에 가자고 했다. 그 후에 우리는 함께 집으로 돌아왔다
1303,그는 새로운 기록을 세웠다,그는 기록을 갱신하다,그는 새로운 기록을 세웠다. 이는 그가 경기장을 떠나기 전에 일어났다,그는 존경받는 선수가 되었다
1304,그는 어쨌든 그것을 먹었다,그는 속이 아프다,그는 어쨌든 그것을 먹었다. 이는 배가 고팠기 전에 일어났다,그는 속이 아프기 시작했다
1305,그는 술을 마셨다,그는 숙취를 이겨내다,그는 술을 마셨다. 이는 근처의 택시를 타기 전에 일어났다,그는 술을 마셨다. 그 후에 숙취로 인해 이틀 동안 기운이 없었다
1306,그는 큰 소리가 들었다,그는 놀라서 주변을 둘러보다,그는 큰 소리가 들었다. 이는 그가 안전을 확인하기 전에 일어났다,그는 큰 소리가 들었다. 그 후에 그는 주변을 둘러보았지만 아무것도 보이지 않았다
1307,그는 안 좋아 보였다,그는 병원에 입원하다,그는 안 좋아 보였다. 이는 그가 병에 걸리기 전에 일어났다,그는 의사에게 진찰을 받았다
1308,그는 생산성을 향상시켰다,그는 보너스를 받았다,그는 생산성을 향상시켰다. 이는 새로운 시스템을 도입하기 전에 일어났다,그는 보너스를 받았다
1309,그는 길을 잘못 들어섰다,그는 길을 되돌아가서 올바른 방향으로 가다,그는 길을 잘못 들어섰다. 이는 목적지에 도착하기 전에 일어났다,그는 길을 잘못 들어섰다. 그 후에 그는 지도를 찾아보았다
1310,그는 고등학교를 졸업했다,그는 대학에 입학했다,그는 고등학교를 졸업했다. 이는 대학에 지원하기 전에 일어났다,그는 대학교로 진학했다
1311,그는 할로윈 파티에 초대받았다,그는 코스튬을 입고 파티에 참석하다,그는 할로윈 파티에 초대받았다. 이는 그가 코스튬을 사기 전에 일어났다,그는 할로윈 파티에 갔다. 그 후에 그는 많은 사람들과 즐거운 시간을 보냈다
1312,그는 그것을 페이스북에 게시했다,그는 논란을 일으키다,그는 그것을 페이스북에 게시했다. 이는 그가 실수를 깨닫기 전에 일어났다,그는 그것을 페이스북에 게시했다. 그 후에 많은 좋아요와 댓글을 받았다
1313,그는 셔츠에 와인을 엎질렀다,그는 셔츠를 갈아입다,그는 셔츠에 와인을 엎질렀다. 이는 저녁 식사를 시작하기 전에 일어났다,그는 셔츠에 와인을 엎질렀다. 그 후에 그는 빨래를 하기로 결심했다
1314,그는 호텔을 예약했다,그는 여행을 즐기다,그는 호텔을 예약했다. 이는 여행을 시작하기 전에 일어났다,그는 호텔에 체크인했다. 그 후에 휴식을 취했다
1315,그는 단 것을 너무 많이 먹었다,그는 속이 아프다,그는 단 것을 너무 많이 먹었다. 이는 그가 다이어트를 시작하기 전에 일어났다,그는 단 것을 너무 많이 먹었다. 그 후에 속이 아프기 시작했다
1316,그는 인사를 했다,그는 상대방에게 인사를 받다,그는 인사를 했다. 이는 그가 상사와 마주치기 전에 일어났다,그는 인사를 했다. 그 후에 상대방도 웃으며 인사를 했다
1317,그는 성적표를 받았다,그는 학교에서 칭찬을 받다,그는 성적표를 받았다. 이는 그가 시험을 치기 전에 일어났다,그는 성적표를 받았다. 그 후에 그는 가족과 자랑스러운 순간을 보냈다
1318,그는 조난당한 고양이를 도왔다,그는 고양이를 구조하다,그는 조난당한 고양이를 도왔다. 이는 그가 자신의 강아지를 찾기 전에 일어났다,그는 동물 보호소에 데려다주었다
1319,그는 다음 단계로 도약했다,그는 더 큰 도전을 향해 나아가다,그는 다음 단계로 도약했다. 이는 그가 현재의 직장을 떠나기 전에 일어났다,그는 새로운 직책을 맡았다
1320,그는 새 애완동물을 얻었다,그는 새로운 반려동물과 즐거운 시간을 보냈다,그는 새 애완동물을 얻었다. 이는 그가 혼자 사는 것에 지치기 전에 일어났다,그는 새 애완동물을 얻었다. 그 후에 그의 삶은 더 활기차지고 행복해졌다
1321,그는 차를 마셨다,그는 음주운전으로 체포되었다,그는 차를 마셨다. 이는 그가 운전하기 전에 일어났다,그는 술취해서 운전을 하다가 사고를 냈다
1322,그는 구매를 원했다,그는 상품을 받지 못하다,그는 구매를 원했다. 이는 그가 신용카드를 잃어버리기 전에 일어났다,그는 구매를 원했다. 그 후에 그는 상품을 결제했다
1323,그는 휴대폰을 반납했다,그는 보증금을 돌려받다,그는 휴대폰을 반납했다. 이는 새로운 계약을 체결하기 전에 일어났다,그는 휴대폰을 반납했다. 그 후에 그는 새로운 휴대폰을 구입했다
1324,그는 하루 종일 아무것도 먹지 않았다,그는 혈당이 낮아지다,그는 하루 종일 아무것도 먹지 않았다. 이는 그가 혈당이 너무 낮아지기 전에 일어났다,"그는 하루 종일 아무것도 먹지 않았다. 그 후에 배가 고팠고, 식사를 하게 되었다"
1325,그는 라이터를 다시 가져왔다,그는 다시 담배를 피우기 시작했다,그는 라이터를 다시 가져왔다. 이는 그가 담배를 피우기 전에 일어났다,그는 불을 붙였다. 그 후에 방 안이 밝아졌다
1326,그는 친구를 이겼다,그는 자신의 실력을 증명하다,그는 친구를 이겼다. 이는 그가 경기를 시작하기 전에 일어났다,그는 친구를 이겼다. 그 후에 자신의 실력에 자만심을 키웠다
1327,그는 바지를 적셨다,그는 새로운 바지를 사러 가다,그는 바지를 적셨다. 이는 그가 집을 나서기 전에 일어났다,그는 바지를 적셨다. 그 후에 그는 신발을 신었다
1328,그는 학교가 끝나면 집으로 돌아갔다,그는 숙제를 시작하다,그는 학교가 끝나면 집으로 돌아갔다. 이는 그가 숙제를 마치기 전에 일어났다,그는 학교가 끝나면 집으로 돌아갔다. 그 후에 숙제를 시작했다
1329,그는 다른 발로 발차기를 했다,그는 넘어지다,그는 다른 발로 발차기를 했다. 이는 그가 상대방을 피하기 전에 일어났다,그는 상대방에게 이기지 못했다
1330,그는 머리가 짧았다,그는 머리를 자르러 이발소에 갔다,그는 머리를 자르기 전에 일어났다,그는 머리를 자르지 않고 길게 자라게 했다
1331,그는 레드 와인을 엎질렀다,그는 침대 시트를 세탁하다,그는 레드 와인을 엎질렀다. 이는 그가 파티를 떠나기 전에 일어났다,그는 빠른 속도로 수건을 가져와 와인을 닦았다
1332,그는 대머리가 되었다,그는 모자를 쓰기 시작했다,그는 대머리가 되었다. 이는 머리카락이 모두 빠지기 전에 일어났다,그는 모자를 써야 했다
1333,그는 유모차에서 장난감을 던졌다,그는 엄마에게 혼나다,그는 유모차에서 장난감을 던졌다. 이는 그가 화를 내기 전에 일어났다,그는 엄마에게 혼날 것을 알고 놀라서 울기 시작했다
1334,그는 교통사고를 당했다,그는 병원으로 실려갔다,그는 교통사고를 당했다. 이는 그가 안전벨트를 착용하지 않기 전에 일어났다,그는 교통사고를 당했다. 그 후에 응급실로 옮겨졌다
1335,그는 팔굽혀펴기를 했다,그는 근육을 강화하다,그는 팔굽혀펴기를 했다. 이는 그가 운동을 시작하기 전에 일어났다,그는 팔굽혀펴기를 했다. 그 후에 그는 근육이 뻣뻣해졌다
