,input,A,B,B2
1147,그는 귀를 아래로 내리고 있었다,그는 주변 소리를 듣기 위해 귀를 아래로 내리고 있었다.,수업,어떤 소리가 들렸기 때문에 그는 귀를 아래로 내리고 있었다. 그 전에 조용한 곳에서 작은 발소리가 들렸던 것 같았다.
1148,그는 탯줄을 잘랐다,그는 말을 타고 있던 도중에 탯줄을 잘랐다.,탯줄을 잘랐다. 이는 탈출하기 전에 일어났다.,그는 말에게서 자유를 얻었다.
1149,그는 역사에 대해 배웠다,그는 역사에 대해 배웠다.,과거에 일어난 일들을 이해하기 전에 역사를 배워야 한다.,그 전에 그는 역사에 대해 거의 아무것도 모르고 있었다.
1150,그는 타이어가 펑크 났다,차량이 급격하게 감속하여 타이어가 펑크났다.,여행,그 전에는 속도를 너무 빨리 내렸기 때문에 타이어가 펑크났다.
1151,그는 손을 심하게 다쳤다,그 손을 다친 사람이 무언가에 부딪혔거나 다른 사고로 인해 손을 다쳤을 것이다.,사고,어떤 무거운 물건을 옮기려다가 넘어졌던 것 같았다.
1152,그는 마침내 모자를 찾았다,그의 모자를 잃어버렸다.,잠들어,어딘가에 놓여져 있었던 것이었다.
1153,그는 자신의 삶을 만들어갔다,어떤 사건이 일어나기 전에는 그가 자신의 삶을 만들어갔다.,희생과 노력,"어떤 꿈을 키웠고, 그 꿈을 이루기 위해 노력했다."
1154,그는 자신의 맥박을 느꼈다,그는 운동을 하거나 강한 감정을 느꼈을 것이다.,운동,어떤 일이 있었는지 기억이 나지 않았다. 그저 순간적으로 몸이 떨리고 있었을 뿐이었다.
1155,그는 노트북을 구입했다,그는 노트북을 구입하기 위해 많은 리서치를 했다.,구입,그 전에 여러 가지 노트북을 비교해보고 결정을 내렸다.
1156,그는 다리를 다쳤다,그는 어떤 사고나 불행한 사건으로 다리를 다쳤다.,사고,그 전에 그는 계단에서 넘어졌다.
1157,그는 하루 종일 먹었다,그는 하루 종일 배고팠다.,식사,어떤 일을 했는지 알 수 없었다.
1158,그는 여행 가방을 챙겼다,여행을 떠나기 위해 그는 여행 가방을 챙겼다.,여행을 시작하기 전에 일어났다.,휴대폰과 지갑을 확인했다.
1159,그는 체중이 늘었다,"그는 식사량이 증가했고, 운동을 덜 했을 것이다.",식사,운동을 자주 했었다.
1160,그는 점점 나아지고 있었다,어떤 사건이 일어나기 전에 그는 점점 나아지고 있었다.,노력,"어려움을 겪고 있었지만, 끈질기게 노력하여 성공을 이루고 있었다."
1161,그는 잃어버린 개를 찾았다,그는 개를 산책시키다가 잃어버렸다.,잠자기,"그 전에 그는 주변을 둘러보고, 이웃들과 대화를 나누며, 실종된 개의 흔적을 찾았다."
1162,그는 전화를 걸고 있었다,전화를 걸기 전에 그는 번호를 누르고 있었다.,이는 아침에 일어나기 전에 일어났다.,어디에 있는지 확인하기 위해 지도를 보고 있었다.
1163,그는 삼촌을 찾아갔다,그는 삼촌의 주소를 알아내기 위해 여러 사람에게 물었다.,삼촌을 찾아가기 전에 일어났다.,삼촌의 주소를 알아내기 위해 가족들에게 여쭤보았다.
1164,그는 노래방에서 노래를 불렀다,그는 노래방에서 노래를 연습했다.,공연,"친구들과 함께 저녁을 먹었고, 식사 후에는 노래방으로 이동했다."
1165,그는 친구를 초대했다,친구를 초대한 후에 그들은 함께 시간을 보냈다.,술자리,그 전에 그의 집을 정리했다.
1166,그는 스스로를 점검했다,.,자기 평가(Self-assessment)하기 전에 일어났다.,어떤 실수를 저질렀는지 돌이켜보았다.
1167,그는 친구와 대화를 나눴다,이전에 친구와 대화를 나누었다.,식사,그 전에는 일을 마무리하고 집에 돌아와서 샤워를 하고 저녁을 먹었다.
1168,그는 소다를 엎질렀다,그는 실수로 소다를 흘렸다.,음식을 먹기 전에 일어난 사건이다.,그 전에 그는 코카콜라를 마셨다.
1169,그는 숙면을 취했다,일어난 사건이 일어나기 전에 그는 숙면을 취했다.,잠을 자러 가려고,어떤 안정적인 환경에서 명상을 하고 규칙적인 운동을 했다.
1170,그는 화장실에 가야 했다,그는 물을 많이 마셨다.,아침식사,어떤 중요한 회의가 있었기 때문에 급히 나가야 했다.
1171,그는 스테이크를 주문했다,그는 스테이크를 주문하기 전에 메뉴를 살펴보았다.,먹기,그 전에 그는 메뉴를 살펴보고 어떤 음식을 먹을지 고민했다.
1172,그는 자신에 대한 여유가 있었다,"어떤 일이 벌어지기 전에, 그는 자신에 대한 여유가 있었다.",자신을 알기,어떤 일이 있더라도 항상 침착하고 대처할 준비가 되어 있었다.
1173,그는 정말 재미있게 놀았다,어떤 일이 벌어지기 전에는 그가 정말 재미있게 놀았다.,놀이를,어떤 신나는 노래를 듣고 춤을 추었다.
1174,그는 커튼에 불을 붙였다,그는 실수로 촛불을 커튼에 닿게 했다.,사고,커튼을 닫았다.
1175,그는 준비 중였다,.,출발,"머리를 감싸고 있었고, 땀을 닦아내고 있었다."
1176,그는 수학 수업에서 낙제했다,그는 수학 공부를 게을리 했다.,공부를 게을리,어떤 이유로 수업에 출석하지 않았기 때문이다.
1177,그는 결국 구해내었다,어떤 위험에 처해있었다.,그는 결국 구해내었다. 이는 노력하기 전에 일어났다.,"어떤 어려움을 겪었지만, 그는 결국 구해내었다. 그 전에 많은 시간과 노력을 투자했지만 결국 성공했다."
1178,그는 터치다운을 기록했다,그는 팀원들과 함께 좋은 전략을 세웠다.,스크림리지를 넘기기 전에 일어났다.,어드밴스 다운을 시도했지만 실패했다.
1179,그는 어디서부터 시작해야 할지 잘 알고 있었다,어떤 계획을 세우고 준비를 하였다.,계획을 세우기 전에 일어났다.,어떤 것을 먼저 해야 하는지 계획을 세워 두었기 때문이다.
1180,그는 잠을 못 잤다,그는 스트레스를 받았다.,잠을 자지 못했기 때문에 일찍 일어났다.,어떤 스트레스로 인해 마음이 불안했기 때문에 잠을 못 자게 되었다.
1181,그는 두려움을 극복했다,어떤 위험에 처해 있었다.,도전,어려운 상황에 직면했지만 결국 극복했다.
1182,그는 학교에 가져갈 연필을 구했다,그는 학교에 가져갈 연필을 구하기 위해 가게에 갔다.,출발,연필 깎는 도구를 샀다.
1183,그는 계속 울었다,어떤 충격적인 소식을 듣고나서 그는 계속 울었다.,일어나기 전에 슬퍼하기 시작했다.,그는 가족을 잃었기 때문에 그렇게 슬퍼했다.
1184,그는 밤새도록 울었다,어떤 충격적인 소식을 듣고 충격을 받았다.,그는 햇빛이 뜨기 전에 일어났다.,무슨 일이 있었는지 알 수 없다.
1185,그는 가장 친한 친구가 있었다,어떤 일이 벌어졌는지에 대한 정보가 없으므로 정확한 답변을 제공할 수 없습니다.,죽음,"어떤 일이 있었는지는 잘 모르겠지만, 그 전에는 더 행복했던 것 같다."
1186,그는 택시를 불렀다,그는 집에서 나와서 택시를 불렀다.,탑승,택시를 불르기 전에 지갑을 확인했다.
1187,그는 시험 도중 잠이 들었다,그는 밤늦게까지 공부해서 피곤한 상태였다.,시험을 보러 가기 전에 일어났다.,시험을 볼 때까지 밤을 새웠기 때문에 피곤한 상태였다.
1188,그는 친구에게 물어봤다,"""그는 친구에게 물어봐서 정보를 얻었다.""",일어나기,무엇을 먹었는지 궁금해했다.
1189,그는 반지를 구입했다,그는 여자친구와의 결혼을 계획하고 있었다.,결혼,여자친구와 결혼을 약속했다.
1190,그는 나오는대로 시끄럽게 이야기했다,이전에 그 사람은 다른 사람들을 무시하고 시끄럽게 이야기했다.,이는 나오기 전에 일어났다.,"그 전에 조용한 분위기였지만, 그의 등장으로 인해 시끄러워졌다."
1191,그는 그녀도 데려갔다,그녀와 함께 어딘가를 갔다.,결혼,그녀를 만나러 갔었다.
1192,그는 그의 부모님이 그리워했다,어머니와 아버지가 사망했다.,사망,그는 그들과 함께 많은 시간을 보냈기 때문에 그리워했다. 그 전에 그의 삶은 완전하지 않았다.
1193,그는 환불을 요청했다,상품을 구매한 후에 그는 환불을 요청했다.,구매,어떤 이유로 상품을 구매했는지 설명해야 했다.
1194,그는 친구에게 선물했다,그는 친구의 생일을 축하하기 위해 선물을 준비했다.,이는 출발하기 전에 일어났다.,그 전에 그는 선물을 골라주기 위해 여러 가게를 돌아다녔다.
1195,그는 남동생에게 물었다,"""그는 남동생에게 물었다""라는 문장으로 사건이 일어나기 전에 어떤 일이 벌어졌는지 명확한 정보가 없습니다. 좀 더 구체적인 정보를 제공해주시면 도움을 드릴 수 있을 것 같습니다.",자신이 일어나기 전에 무엇을 했는지 물었다.,무엇을 했냐고?
1196,그는 냄새가 너무 좋았다,그는 꽃을 심었다.,아침식사,어디서 그 냄새가 나는지 궁금했다.
1197,그는 신용카드를 사용했다,신용카드를 사용하기 위해 은행이나 금융기관에서 카드를 발급받았을 것이다.,결제를 하기 전에 일어났다.,은 현금을 이용했다.
1198,그는 버튼을 눌렀다,버튼을 눌러서 문이 열렸다.,버튼을 누르기 전에 일어난 일이다.,그는 화면을 확인했다.
1199,그는 안식일을 어겼다,그는 안식일을 어겼다.,일을,그는 하루 종일 일을 해야 했기 때문에 안식일을 어겼다. 그 전에도 바쁜 일정으로 인해 안식일을 쉬지 못했다.
1200,그는 건강에 좋은 음식을 더 많이 먹었다,"건강에 좋은 음식을 더 많이 먹었던 후에, 그 사람은 건강한 상태를 유지하기 위해 노력했다.",결정을 하기,"그 전에는 매일 빠르고 편리한 패스트푸드를 먹었지만, 이제는 신선한 과일과 채소를 더 많이 섭취하고 있다."
1201,그도 케이크를 먹고 있었다,케이크를 사러 가기 전에 케이크를 먹고 있었다.,생일 축하를 하려고,어떤 음식을 먹었는지 알 수 없습니다. 좀 더 구체적인 정보를 제공해 주시면 도와드릴 수 있을 것 같아요!
1202,그는 시대에 뒤떨어진 일을 했다,어떤 기술 또는 지식을 습득하지 않았다.,과거에 일어난 것,어떤 혁신적인 아이디어를 제시하여 시대의 흐름을 바꿨다.
1203,그는 함께 영화를 봤다,어떤 사람이 그에게 영화를 보러 가자고 제안했다.,그는 함께 영화를 봤다. 이는 **식사**하기 전에 일어났다.,그는 그녀와 함께 저녁을 먹었다.
1204,그는 심지어 고용도 했다,어떤 사람이 회사를 창업했다.,그는 심지어 고용도 했다. 이는 일어나기 전에 일어났다.,먼저 그는 회사를 설립했다.
1205,그는 좋아하는 동물 인형이 있었다,그는 좋아하는 동물 인형을 사기 위해 가게에 갔다.,자신의 침대에서.,어린 시절에 많은 추억을 함께한 인형이었다.
1206,그는 기분이 좋아지기 시작했다,어떤 좋은 소식을 듣거나 기쁜 일이 있었을 것이다.,무엇인가 좋은 일이 있었기 전에 일어났다.,어려운 일들이 있었지만 이제는 모든 것이 조금씩 나아지고 있다.
1207,그는 대학에 입학했다,그는 대학 입학 시험에 합격했다.,입학하기 전에 일어났다.,고등학교를 졸업했다.
1208,그는 투표함에 투표용지를 넣었다,그는 투표용지를 받아서 투표함에 넣었다.,투표하기,투표용지를 받아왔다.
1209,그는 그녀를 어디서나 찾을 수 있었다,그녀가 실종되었다.,그녀를 찾기 전에 일어났다.,그녀는 항상 그의 곁에 있었기 때문이다.
1210,그는 길거리에서 지갑을 발견했다,어떤 사람이 지갑을 떨어뜨렸다.,그는 지갑을 발견하기 전에 비가 왔다.,지갑을 잃어버린 것을 깨달았다.
1211,그는 마시멜로를 구웠다,그는 장작을 모았다.,불을 피우기 전에 일어났다.,불을 피웠다. 그리고 마시멜로를 꼬치에 꽂아 불 위에 올려놓았다.
1212,그는 수영장 파티가 있었다,그 전에 그는 친구들을 초대했고 음식과 술을 준비했다.,파티를 준비,친구들과 함께 해변에서 일일이 모래성을 만들었다.
1213,그는 어쨌든 달렸다,어떤 이유로 인해 그가 달리기 시작했을 것이다.,그는 어쨌든 달렸다. 이는 출발하기 전에 일어났다.,"어떤 일이 있었던지 상관없이 결국 그는 달렸다. 그 전에 어떤 방식으로든 자신을 동기부여했고, 그를 움직이게 했던 것이 있었을 것이다."
1214,그는 첫 키스를 받았다,어떤 사람과 로맨틱한 순간을 보냈다.,역사를 만들어내는,"어색한 기분이 들었지만, 그녀의 미소가 그를 안심시켰다."
1215,그는 입에 화상을 입었다,그는 뜨거운 음식을 먹다가 입에 화상을 입었다.,식사,그는 뜨거운 커피를 마시려다가 실수로 쏟아붓고 말았다.
1216,그는 골을 넣었다,그는 훈련을 하고 골을 넣었다.,골을 넣기,"골을 넣기 위해 상대편 수비수를 헷갈리게 하고, 공을 받아들일 위치를 정확히 계산했다."
1217,그는 그녀의 혀를 깨물었다,그는 그녀와 싸웠다.,사랑을 표현,그 전에 그녀의 입술을 다문 후 옆으로 돌아섰다.
1218,그는 권리를 침해했다,어떤 사람이 그의 권리를 침해했다.,소송,그 전에 그는 다른 사람의 프라이버시를 침해했다.
1219,그는 따뜻함을 유지했다,그는 옷을 입었다.,종료,어떤 일이 있었던 것 같았다.
1220,그는 갑자기 쓰러졌다,어떤 이유로 인해 갑자기 쓰러졌는지에 대한 정보가 없으므로 정확한 답변을 제공할 수 없습니다.,의사를 찾아보기 전에 일어났다.,어지러운 듯한 표정을 지으며 손을 얼굴에 대고 있었다.
1221,그는 홈런을 쳤다,그는 야구장에서 훈련을 하고 있었다.,그는 홈런을 쳤다. 이는 출루하기 전에 일어났다.,그 전에는 두 번째 스트라이크를 받았다.
1222,그는 두 다리가 부러졌다,그는 사고로 두 다리가 부러졌다.,사고,그는 스노우보딩을 하다가 넘어졌다.
1223,그는 1년 후 결혼을 했다,그는 여자친구에게 프러포즈를 했다.,사랑을 발견,연인과 함께 많은 시간을 보냈다.
1224,그는 매우 아파졌다,그는 매우 아파졌기 때문에 의사를 찾아갔다.,의사와 상담,어떤 사고가 있었던 것 같았다.
1225,그는 TV를 시청했다,그는 TV를 시청한 후에 지진이 발생했다.,잠자기,잠시 쉬었다.
1226,그는 수업을 시작했다,학생들이 자리에 앉아서 교실로 들어왔다.,그는 수업을 시작했다. 이는 일어나기 전에 일어났다.,그 전에 학생들이 자리에 앉도록 지시했다.
1227,그는 택시를 호출했다,그는 집을 나와서 택시를 호출했다.,도착,그 전에 지갑을 주머니에서 꺼내 확인했다.
1228,그는 열쇠를 찾을 수 없었다,그는 문을 열 수 없었다.,출발,어디에 놓았는지 기억이 나지 않았다.
1229,그는 학교로 돌아갔다,그는 방학이 끝나고 학교로 돌아갔다.,학교로 돌아가기 전에 일어났다.,"
그 전에 친구들과 식사를 했다."
1230,그는 배고파 보였다,식사 시간이 지나서 그가 배고파 보였다.,아침 식사,무엇을 먹지 않았나?
1231,그는 새 친구를 사귀게 되었다,그는 이전에 새로운 사람을 만나게 되었다.,만나기,어떤 이야기를 듣고는 그가 새로운 관심사를 발견했다.
1232,그는 큰 충돌 소리를 들었다,두 차가 충돌하기 전에 그는 큰 충돌 소리를 들었다.,그는 큰 충돌 소리를 들었다. 이는 사고하기 전에 일어났다.,어떤 일이 벌어지고 있었던 것인지 궁금해졌다. 그 전에 조용한 곳에서 일하고 있었기 때문에 충돌 소리가 더욱 놀라웠다.
1233,그는 사다리를 잡았다,어떤 물건을 고정하거나 올리기 위해 사다리를 사용하기로 결정했다.,오르다,어떤 일이 있었는지 모르겠습니다. 무슨 맥락에서 이야기를 하는 건가요?
1234,그는 헌혈을 했다,그는 헌혈을 하기 위해 병원을 방문했다.,수술,의료진에게 자신의 건강 상태를 알렸다.
1235,그는 맹장을 제거했다,그는 의심스러운 행동을 보였다.,수술,그는 의사와 상의하여 수술을 결정했다.
1236,그는 회사를 창업했다,그 전에 그는 비즈니스 아이디어를 개발하고 자금을 조달했다.,그는 회사를 창업했다. 이는 결정하기 전에 일어났다.,어학연수를 다니며 세계 각국의 비즈니스 모델을 연구했다.
1237,그는 가슴에 통증이 있었다,의사를 찾아서 신체검사를 받았다.,운동,의사에게 상담을 받았지만 아무런 이상이 없다고 했다.
1238,그는 다시 잠이 들었다,그는 침대에 누워서 책을 읽다가 지쳐 다시 잠이 들었다.,자신의 알람을 설정하기,그 전에 긴 시간 동안 눈을 감지 못했다.
1239,그는 훨씬 더 잘 자고 있었다,그는 이전에 피곤해서 잠을 제대로 자지 못했다.,그는 훨씬 더 일찍 자고 있었다. 이는 일어나기 전에 일어났다.,어떤 약을 먹었기 때문이었다.
1240,그는 장난감을 변기에 버렸다,그는 장난감을 변기에 버린 후에 변기가 막혀서 파이프가 깨지고 화장실이 침수되었다.,화장실에 가려고,그 전에 그는 장난감을 바닥에 떨어뜨렸다.
1241,그는 발소리를 들었다,그는 문을 열고 나갔다.,잠에서 깨어나기 전에 일어났다.,그 전에는 조용한 밤이었다.
1242,그는 가족 여행 중였다,가족 여행을 위해 일정을 잡고 준비를 했다.,출발,그는 여행을 계획하고 준비하는 데 많은 시간을 보냈다.
1243,그는 더 높이 점프했다,그는 더 많은 운동을 하고 근력을 키웠다.,훈련을 받은 후,그 전에 그는 뛰어오르기를 연습했다.
1244,그는 첫 키스를 했다,그녀와 로맨틱한 데이트를 했다.,연애,어색한 기분이 들었다.
1245,그는 드디어 입을 열었다,이전에 그는 오랫동안 침묵을 지키고 있었다.,이는 오랜 시간을 생각한 후에 일어났다.,아무런 소리도 내지 않았다.
1246,그는 목소리가 커졌다,이전에 그와 다른 사람 사이에 갈등 또는 논쟁이 있었을 것이다.,분노하기 전에 일어났다.,그 전에 조용히 말하던 것을 듣지 못했다.
1247,그는 손목이 부러졌다,그는 사고로 손목을 다쳤다.,축구를 하기 전에 일어났다.,어떤 무리에 부딪혔던 것 같다.
1248,그는 자전거를 찾았다,그 전에 그는 자전거를 잃어버렸다.,사고,어디에 두었는지 기억이 나지 않았다.
1249,그는 축구팀에 합류했다,그는 축구팀에 합류하기 위해 시도해왔다.,이는 훈련하기 전에 일어났다.,어린 시절부터 축구를 사랑했다.
1250,그는 사탕을 많이 받았다,그는 할로윈 때 여러 사람들에게 사탕을 나눠주었다.,할로윈(Halloween),어떤 사탕을 좋아하는지 말해주었다.
1251,그는 팔을 흔들었다,그는 다른 사람에게 인사를 했다.,인사하기,그는 나에게 손을 흔들었다.
1252,그는 그녀를 혼쭐내줬다,그녀는 그를 떠나려고 결심했다.,그녀가 실수하기 전에 일어났다.,그 전에 그녀는 그를 무시했었다.
1253,그는 사랑니를 발치했다,그는 치과 의사에게 예약을 잡고 사전 상담을 받았다.,수술,치아 공격을 받았다. 그래서 발치가 필요했다.
1254,그는 학위를 취득했다,학위를 취득하기 위해 공부하고 시험을 보았다.,취득하기 전에 일어났다.,어학연수를 다녔다.
1255,그는 자신을 때렸다,그 사람은 분노하여 자신을 때렸다.,실수,그 전에 그는 화가 나서 손을 뻗어 친구를 때렸다.
1256,그는 새 휴대폰을 구입했다,그는 이전에 휴대폰을 분실하거나 고장났을 것이다.,구입하기 전에 일어난 일은 결정이다.,기존 휴대폰이 고장나서 새로운 것으로 교체하게 되었다.
1257,그는 탭댄스를 배웠다,그는 탭댄스를 배우기 위해 댄스 학원에 등록했다.,그는 탭댄스를 배웠다. 이는 춤을 추기 전에 일어났다.,그 전에는 발레를 배웠다.
1258,그는 친구와 가족을 초대했다,그는 친구와 가족을 초대한 후에 파티를 열었다.,파티,그는 파티를 위한 음식과 음료를 준비했다.
1259,그는 영화를 골랐다,그는 영화관에 가서 영화를 골라서 티켓을 샀다.,시사회,어떤 장르의 영화를 보고 싶은지 고민했다.
1260,그는 2위를 차지했다,그 전에 그는 1위를 차지하려고 노력했다.,경기가 끝나기 전에 일어났다.,1위를 차지했던 선수를 이겼다.
1261,그는 정말 웃겼다,어떤 사람이 그를 웃게 만든 일이 있었다.,웃음을 참기,"그 전에 우리는 오랫동안 얘기를 나누었고, 그의 유머 감각에 깊이 빠져들었다."
1262,그는 곧 올 예정였다,이전에 그 사람은 일정이 잡혀 있었다.,출발,어떤 일을 처리해야 했다.
1263,그는 그럼에도 팀을 구성했다,어떤 이유로 인해 팀을 구성하기로 결정했다.,결정,어떤 기준으로 팀을 구성할지에 대해 면밀히 고민했다.
1264,그는 의사와 상담했다,.,사전조사,"그 전에 그는 증상을 경험했고, 건강 상태가 계속 악화되어 의사와 상담하게 되었다."
1265,그는 저녁 파티가 있었다,그는 초대를 받았고 옷을 골라 입었다.,그는 저녁 파티가 있었다. 이는 일어나기 전에 일어났다.,그 전에 그는 음식과 음료를 준비하기 위해 시장에 갔다.
1266,그는 고등학교에 입학했다,그는 중학교를 졸업했다.,출생,어린 시절을 지내며 많은 어려움을 겪었다.
1267,그는 하루 종일 기다렸다,"어떤 약속이 있었거나, 어떤 중요한 일이 예정되어 있었을 것이다.",먹기,어떤 일이 생길지 전혀 예상하지 못했다.
1268,그는 그녀 위에서 안식을 취했다,그녀는 그의 도움으로 산에서 떨어진 후에 의료진에 의해 구조되었다.,쉬기,"그녀를 품에 안았고, 그녀의 머리칼을 쓰다듬었다."
1269,그는 부모님을 찾았다,부모님과 잃어버린 사이였던 그는 부모님을 찾아냈다.,사고,어린 시절을 보냈던 고아원에서 살았다.
1270,그는 저녁 식사로 햄버거를 먹었다,그는 식사 후에 속이 메스껍고 배가 고파서 집을 나와서 빈 통금으로 도시를 걸었다.,저녁 식사를 하기 전에 일어났다.,그 전에 그는 친구와 함께 영화를 보고 왔다.
1271,그는 어쨌든 그것을 마셨다,어떤 이유로 그것을 마시기로 결정했다.,마시기,어떤 이유로 그것을 마셨는지에 대해 심사숙고했다.
1272,그는 팔을 다쳤다,그는 사고로 팔을 다쳤다.,사고,어떤 무거운 물건을 들다가 넘어졌기 때문에 발생한 일이었다.
1273,그는 골프 치는 법을 배웠다,그는 골프 치는 법을 배우기 위해 수업을 들었다.,그는 골프 치는 법을 배웠다. 이는 연습하기 전에 일어났다.,골프를 한 번도 시도해 본 적이 없었다.
1274,그는 상자를 찾았다,어떤 사람이 상자를 잃어버렸다.,그는 상자를 찾았다. 이는 발견하기 전에 일어났다.,그는 찾고 있던 물건을 상자 안에 넣었다.
1275,그는 검진을 받았다,의사에게 예약을 하고 검진을 받기 위해 병원에 방문했다.,검진을 받았다. 이는 수술하기 전에 일어났다.,어떤 증상도 없었지만 건강을 확인하기 위해 예방적으로 검진을 받았다.
1276,그는 다리를 부러뜨렸다,그는 사고로 다리를 부러뜨린 후 병원에 실려갔다.,사고,어린이들과 놀고 있었다.
1277,그는 물건을 카운터로 가져갔다,그는 상점에서 물건을 골라서 카운터로 가져갔다.,지불,그 전에 가격을 확인하기 위해 라벨을 살펴보았다.
1278,그는 멋져 보였다,어떤 사람이 그를 칭찬했다.,쇼핑을,무엇인가 특별한 일이 있었던 것 같았다.
1279,그는 여자 친구를 초대했다,"한 문장으로 답하면, 그는 여자 친구를 초대하기 전에 집을 정리했다.",데이트,그녀와 함께 영화를 보러 갔다.
1280,그는 심하게 화상을 입었다,그는 신경증을 가지고 불을 다루던 중에 실수로 화상을 입었다.,요리,어린이들을 조심하지 않았기 때문에 발생한 일이었다.
1281,그는 다이어트를 시작했다,그는 다이어트를 시작하기로 결정했다.,결정하기,는 많이 먹었고 운동을 거의 하지 않았다.
1282,그는 자판기에서 탄산음료를 가져왔다,돈을 넣고 버튼을 눌러 탄산음료를 선택했다.,먹기,물을 마셨기 때문에 이미 목이 시원했다.
1283,그는 기분이 나아졌다,그는 친구들과 재미있는 시간을 보냈다.,의학적 치료,어떤 사람들과의 대화로 스트레스를 풀었다.
1284,그는 메모를 받았다,어떤 사건이 일어나기 전에 그는 메모를 받았다.,그는 메모를 받았다. 이는 사건이 일어나기 전에 일어났다.,그 전에 그는 회의 중이었다.
1285,그는 시험을 놓쳤다,그는 공부를 제대로 하지 않았다.,시험을 보기 전에 일어났다.,시험을 잘 준비하지 않았기 때문에 그는 시험을 놓쳤다. 그 전에 공부를 더 열심히 했더라면 좋은 성적을 받았을 것이다.
1286,그는 강아지를 데려왔다,그는 강아지를 키우기로 결정했다.,산책,강아지를 키우기로 결심했다.
1287,그는 퇴근 후 집에 돌아왔다,아마도 그는 일하고 있던 것으로 보인다.,그는 일하기 전에 퇴근 후 집에 돌아왔다.,어떤 식사를 하고 친구들과 만나기로 했다.
1288,그는 너무 즐겼다,그는 술을 많이 마셨다.,그는 너무 즐겼다. 이는 일어나기 전에 일어났다.,어떤 일이 있었는지 기억하지 못했다.
1289,그는 수영하러 갔다,그는 수영복을 입고 수영장으로 갔다.,그는 수영하러 갔다. 이는 일어나기 전에 일어났다.,샤워를 하고 준비를 마쳤다.
1290,그는 새 매트리스를 구입했다,그는 이사를 하거나 예전의 매트리스가 낡아서 교체할 필요가 있었을 것이다.,사용하기,잠자리가 불편했기 때문에.
1291,그는 머리를 긁적였다,그는 머리를 긁적이며 고민하고 있었다.,잠을 깨다,그 전에 문제를 해결할 방법을 찾지 못했기 때문에 그는 머리를 긁적였다.
1292,그는 할머니를 방문했다,할머니를 방문하기 전에 그는 할머니와의 약속을 잡았다.,그는 할머니를 방문했다. 이는 그녀가 돌아가기 전에 일어났다.,어머니를 방문했다.
1293,그는 대사를 잊어버렸다,그는 여행을 위해 대사를 작성하고 떠났다.,촬영,무엇을 말했는지 기억하지 못했다.
1294,그는 그녀를 닮은 것 같았다,어떤 사람이 그녀를 만나고 그녀에게 영향을 받았다.,사랑하기 전에 일어났다.,그녀를 보고 있었기 때문이었다.
1295,그는 한 입 베어물었다,그는 이전에 식사를 하지 않았다.,죽음,그는 먹을 것을 찾아 헤매던 동물이었다.
1296,그는 엄지손가락을 빨고 있었다,그는 어떤 불안한 상황에 처해 있었다.,불안해하는 것을 나타내는 행동,그 전에 긴장된 모습으로 주먹을 쥐고 있었다.
1297,그는 이 아이템에 대한 리콜을 진행했다,이 아이템에 대한 리콜을 진행하기 전에 제품에 결함이 발견되었을 것입니다.,제품 안전 검사,이 제품에 대한 안전 문제가 발견되었다.
1298,그는 돈이 좀 필요했다,그는 돈이 좀 필요했기 때문에 은행을 방문했다.,사고,어떤 일이 생겨서 급하게 돈을 써야 했던 것 같았다.
1299,그의 말이 맞았다,어떤 사람이 그의 말을 확인하고 인정했다.,그의 말이 맞았다. 이는 일어나기 전에 일어났다.,무엇을 잘못 생각했던 것 같았다.
1300,그는 순진무구했다,어떤 사기꾼에게 속아서 모든 돈을 잃었다.,사고,어떤 사람에게 속아서 큰 실수를 저질렀다.
1301,그는 옷장을 업데이트했다,.,옷장을 정리하기 전에 일어났다.,옷장에 너무 많은 옷이 있었기 때문에 정리하고 새로운 옷을 추가했다.
1302,그는 집에 가자고 했다,어떤 사람이 그에게 집에 가자고 제안했다.,집으로 돌아가기 전에 일어났다.,저녁을 먹으러 가자고 했다.
1303,그는 새로운 기록을 세웠다,그는 훌륭한 훈련을 받았고 열심히 연습했다.,이는 전에 없던 일이나 경험이 있었음을 의미합니다.,기록을 세우는 데에 성공했다.
1304,그는 어쨌든 그것을 먹었다,어떤 음식을 주문하고 받았다.,먹기,"그 전에 그것이 싫어서 망설였지만, 배가 너무 고팠기 때문에 결국 먹었다."
1305,그는 술을 마셨다,술을 마신 후에 사건이 일어났다.,취기가 죽기 전에 일어난 일이다.,물을 마셨다. 그는 건강을 위해 항상 물을 우선으로 했다.
1306,그는 큰 소리가 들었다,그 소리가 들리기 전에는 아무런 일도 벌어지지 않았다.,일어나기 전에 일어났다.,아무도 그의 말을 듣지 않았다.
1307,그는 안 좋아 보였다,어떤 스트레스나 문제 때문에 그의 기분이 안 좋았던 것 같다.,무언가 나쁜 일이 있었던 것 같았다. 이는 어제 밤에 일어났다.,"어떤 일이 있었는지 잘 모르겠지만, 그 전에 피곤해 보였다."
1308,그는 생산성을 향상시켰다,일어나기 전에 그는 생산성을 향상시키기 위해 팀원들과 협력하여 업무 프로세스를 개선했다.,변화,어떤 프로세스를 최적화하여 더 효율적으로 일할 수 있도록 했다.
1309,그는 길을 잘못 들어섰다,그는 지도를 잘못 읽거나 잘못된 안내를 받았을 것이다.,그는 지도를 확인하기 전에 일어났다.,어디로 가야 하는지 물어보지 않아서 이런 상황에 처했다.
