,input,A,B
1395,그는 메스꺼움을 느꼈다,그는 혐오를 느끼는 사람으로 보인다.,혐오스러운
1396,그는 여자친구와 데이트했다,그는 로맨틱하고 사랑스러운 사람으로 보인다.,로맨틱한
1397,그는 동생에게 전화했다,그는 배려심이 있는 형으로 보인다.,친절한
1398,그는 임신 9개월였다,그는 임신한 여성으로 보인다.,임신 9개월이었기 때문에 그는 임신한 사람으로 보인다.
1399,그는 가방을 떨어뜨렸다,그는 조심하지 않는 사람으로 보인다.,초조한
1400,그는 그것을 어디든 가지고 다녔다,그는 준비성이 뛰어나고 책임감 있는 사람으로 보입니다.,"어디든, 어디로든"
1401,그는 규칙을 설명했다,"

그는 설명적이고 책임감 있는 사람으로 보인다.",신뢰할 만한
1402,그는 학교에 우산을 가져갔다,비가 올 것을 예상하고 준비를 잘 하는 신중한 사람으로 보인다.,신중한
1403,그는 인터넷을 검색했다,지식을 쌓고 자신의 궁금증을 해결하려는 호기심 많은 사람으로 보인다.,지식이 풍부한
1404,그는 다음날이 마감일였다,그는 프로crastinator로 보입니다.,긴장된
1405,그는 와인을 엎질렀다,죄책감을 느끼고 실수를 한 것으로 보입니다.,쓰러진(reeling)
1406,그는 닻을 내렸다,해변가에서 배를 정지시키고 있는 선원으로 보인다.,안정된
1407,그는 거의 끝났다,그는 절망적인 상황에 처한 사람으로 보인다.,쓰러질 것 같은
1408,그는 그녀를 두드렸다,폭력적인 사람으로 보입니다.,강한
1409,그는 잘못 짚었다,그는 겸손하고 자신을 돌아보며 실수를 인정하는 사람으로 보인다.,신중하지 못한
1410,그는 제한 속도를 초과하여 운전했다,그는 규칙을 어기는 운전자로 보인다.,위험한
1411,그는 혈장을 기증했다,자선적이고 다른 사람들을 도와주려는 성향을 가진 사람으로 보인다.,도덕적으로 훌륭한
1412,그는 메시지를 보내었다,그는 소통을 중요시하는 사람으로 보인다.,친절한
1413,그는 주머니를 확인했다,의심스러운 사람으로 보인다.,부자된
1414,그는 온라인으로 파일을 업로드했다,그는 현대적이고 디지털에 익숙한 사람으로 보인다.,컴퓨터에 능숙한
1415,그는 그녀의 일을 망쳐 크게 실망시켰다,그는 책임감이 없고 타인의 감정을 고려하지 않는 사람으로 보인다.,부정적인
1416,그는 질문에 대한 답변을 드렸다,성실하고 책임감 있는 사람으로 보인다.,신뢰할 만한
1417,그는 마침내 태어났다,그는 새로운 시작을 하는 사람으로 보인다.,순수한
1418,그는 한 잔 더 마시고 싶어 했다,음주 문제가 있는 사람으로 보입니다.,취한(concerned)
1419,그는 고양이에게 캣닙을 줬다,그는 동물을 사랑하는 친절한 사람으로 보인다.,친근한
1420,그는 새 노트북을 구입했다,그는 현대적이고 기술에 관심이 많은 사람으로 보인다.,신뢰할 만한
1421,그는 속임수를 썼다,기만적인 사람으로 보인다.,부정직한
1422,그는 TV를 보고 있었다,그는 평범한 사람으로 보인다.,차분한
1423,그는 온 바닥에 쏠았다,그는 지친 사람으로 보인다.,피곤한
1424,그는 핫도그 먹기 대회에 참가했다,그는 음식을 매우 좋아하는 사람으로 보인다.,경쟁적인
1425,그는 무대 공포증이 있었다,그는 무대 공포증을 가진 사람으로 보인다.,자신감 없는
1426,그는 멀리 있는 물체를 볼 수 있었다,그는 매우 뛰어난 시력을 가진 사람으로 보인다.,멀리 있는 물체를 볼 수 있었다. 그는 매우 날카롭게 사람으로 보인다.
1427,그는 집으로 돌아가는 길을 찾았다,그는 실수를 저지르고도 포기하지 않고 문제를 해결하는 끈질긴 사람으로 보인다.,피곤한
1428,그는 자신의 능력을 키웠다,그는 노력하는 사람으로 보인다.,자신감 있는
1429,그는 초인종을 눌렀다,그는 도움이 필요한 사람으로 보인다.,피곤한
1430,그는 발목을 뼜다,그는 폭력적이고 공격적인 사람으로 보입니다.,부서진
1431,그는 그녀를 밀쳐내었다,자리를 내어주기보다는 자신의 이익을 위해 다른 사람을 희생시키는 이기적인 사람으로 보입니다.,무정한
1432,그는 그녀에게 빵을 줬다,친절하고 관대한 사람으로 보인다.,친절한
1433,그는 자판기에서 사탕을 꺼내었다,그는 단순히 사탕을 먹고 싶은 사람으로 보인다.,친절한
1434,그는 독감 예방 주사를 맞았다,그는 건강을 중요시하고 예방에 신경을 쓰는 사람으로 보인다.,건강한
1435,그는 섹터에서 건물을 발견했다,탐험가나 조사관으로 보인다.,의심스러운
1436,그는 자전거에서 떨어졌다,그는 운이 나쁜 사람으로 보인다.,다친
1437,그는 책을 돌려받았다,그는 신뢰할 만한 사람으로 보인다.,신중한
1438,그는 침실을 청소했다,청소를 하는 꼼꼼하고 체계적인 사람으로 보인다.,정돈된
1439,그는 얼음판 위에서 미끄러졌다,그는 조심성 없는 사람으로 보인다.,어설픈
1440,그는 기분이 훨씬 나아졌다,그는 긍정적이고 낙천적인 사람으로 보인다.,더 행복한
1441,그는 수건을 가져왔다,그는 깨끗하고 청결을 중요시하는 사람으로 보인다.,매우 정돈된
1442,그는 졸리다고 느꼈다,그는 피곤한 사람으로 보인다.,피곤한
1443,그는 얼룩이 생겼다,"그는 실수를 저질렀을 수도 있고, 무엇인가를 잘못한 것으로 보일 수 있다.",더럽힌
1444,그는 새 가구를 구입했다,그는 소비자로 보인다.,신나는
1445,그는 슬퍼 보였다,그는 누군가를 잃은 슬픈 사람으로 보였다.,우울한
1446,그는 처음에는 좋아했다,하지만 그 사람이 나쁜 일을 저지르자 실망스러운 사람으로 보인다.,친절한
1447,그는 실수로 베였다,그는 인간다운 모습을 보이는 사람으로 보인다.,부끄러운
1448,그는 밖에서 추위를 느꼈다,추위를 느끼는 사람으로 보인다.,외로운
1449,그는 사고를 일으켰다,그는 책임을 지지 않는 사람으로 보인다.,죄수
1450,그는 함께 웃었다,친절하고 사교적인 사람으로 보인다.,따뜻한
1451,그는 스카이다이빙을 하러 갔다,그는 모험적이고 대담한 사람으로 보인다.,용감한
1452,그는 새 휴대폰을 받았다,그는 기쁜 사람으로 보인다.,새로운
1453,그는 어쨌든 가기로 결정했다,그는 결단력 있는 사람으로 보인다.,결국
1454,그는 그녀의 뺨을 쓰다듬었다,다른 맥락이 없는 이 문장만 보면 친근하고 다정한 사람으로 보일 수 있습니다.,따뜻한
1455,그는 어지럽었다,어지럽혀서 당황한 사람으로 보인다.,정신없는
1456,그는 술을 많이 마셨다,술에 취한 사람으로 보인다.,취한
1457,그는 매니큐어를 받았다,그는 자신의 외모와 스타일에 신경을 쓰는 사람으로 보인다.,세련된
1458,그는 일격을 가했다,그는 결단력 있는 사람으로 보인다.,냉담한
1459,그는 아침을 먹었다,일반적으로 아침을 먹는 사람으로 보입니다.,건강한
1460,그는 페디큐어를 받았다,그는 자신의 외모와 청결에 신경을 쓰는 사람으로 보인다.,보기 좋은
1461,그는 밴드를 시작했다,그는 창의적이고 열정적인 음악가로 보인다.,음악적 재능을 가진
1462,그는 볼륨을 높였다,그는 활발하고 적극적인 사람으로 보인다.,더 자신 있는
1463,그는 새 라켓을 구입했다,그는 테니스를 즐기는 사람으로 보인다.,테니스를 즐기는
1464,그는 새 직장이 생겼다,그는 새로운 도전을 감히 받아들이는 적극적이고 능동적인 사람으로 보인다.,신뢰할 만한
1465,그는 알람이 울려도 잠을 자지 않았다,그는 무모한 사람으로 보인다.,불면증
1466,그는 식료품 쇼핑을 하러 갔다,일반적인 소비자로 보인다.,보통
1467,그는 유튜브에서 동영상을 시청했다,그는 현대적이고 디지털에 익숙한 사람으로 보인다.,호기심 많은
1468,그는 학교를 그리워 했다,그는 과거의 학생으로 보입니다.,그는 학교를 그리워 했다. 그는 어른 사람으로 보인다.
1469,그는 내일 시험이 있었다,그는 열심히 공부하는 학생으로 보인다.,신중한
1470,그는 새 선풍기를 구입했다,그는 현대적이고 생활에 대해 신경을 쓰는 사람으로 보인다.,더 시원한
1471,그는 자신감이 더 생겼다,자신감이 더 생긴 사람으로 보인다.,더 자신 있는
1472,그는 날씨를 확인했다,그는 신중하고 책임감 있는 사람으로 보인다.,차분한
1473,그는 반려동물을 키우고 싶어 했다,그는 동물을 좋아하는 사람으로 보인다.,책임감 있는
1474,그는 뉴스를 확인했다,그는 현대적이고 소식에 관심이 있는 사람으로 보인다.,신뢰할 만한
1475,그는 손가락을 두드렸다,친절하고 활발한 사람으로 보인다.,친근한
1476,그는 아내와 이혼했다,그는 결혼생활에 실패한 사람으로 보인다.,싱글(single)
1477,그는 그 어느 때보다 기분이 좋아졌다,그는 기쁨에 찬 사람으로 보인다.,더 행복한
1478,그는 강아지를 키우게 되었다,그는 책임감 있고 관대한 사람으로 보인다.,친근한
1479,그는 최선을 다해 노력했다,그는 노력하는 성실한 사람으로 보인다.,정직한
1480,그는 가려움을 느꼈다,그는 알레르기 반응을 보이는 사람으로 보인다.,예민한
1481,그는 영화를 보고 싶어 했다,온전히 평범한 사람으로 보인다.,영화를 좋아하는
1482,그는 전화가 울리기 시작했다,그는 현재 전화를 받을 준비를 하고 있는 사람으로 보인다.,낯선
1483,그는 걸을 수 없었다,그는 신체적으로 제약을 받고 있는 사람으로 보인다.,힘든
1484,그는 스스로를 아끼는 사람였다,.,자신을 아끼는
1485,그는 정책을 변경했다,그는 결정력 있는 리더로 보인다.,결단력 있는
1486,그는 좋아하는 셔츠가 있었다,그는 패션에 관심이 있는 사람으로 보인다.,세련된
1487,그는 짐을 챙겼다,그는 책임감 있고 철저한 사람으로 보인다.,순수한
1488,그는 머리를 풀어헤쳤다,그는 혼란스러운 상황에 처한 사람으로 보인다.,자유로운
1489,그는 그후 기분이 훨씬 나아졌다,그는 낙천적이고 긍정적인 사람으로 보인다.,더 행복한
1490,그는 셀카를 찍었다,그는 자신에게 자신감이 있고 외향적인 사람으로 보인다.,멋진
1491,그는 친구들과 팝콘을 나눠 먹었다,친화적이고 사교적인 사람으로 보인다.,친근한
1492,그는 자신감이 생겼다,자신감이 생긴 그는 더 자신을 갖춘 사람으로 보인다.,자신감이 생겨 자신감 있는 사람으로 보인다.
1493,그는 컬렉션에 추가했다,그는 열정적인 컬렉터로 보인다.,자신감 있는
1494,그는 어젯밤에 잘 잤다,그는 편안한 사람으로 보인다.,피곤하지 않은
1495,그는 수염을 길렀다,그는 보통 사람으로 보인다.,남자
1496,그는 눈싸움을 하고 있었다,그는 공격적이고 강한 성향의 사람으로 보인다.,자신감 있는
1497,그는 저녁을 걸렀다,그는 살인자로 보인다.,피곤한
1498,그는 아침 일찍부터 일을 시작했다,그는 근면하고 성실한 사람으로 보인다.,부지런한
1499,그는 그녀를 좋아하는 것 같았다,그는 로맨틱한 사람으로 보인다.,정말 따뜻한
1500,그는 휴대폰을 찾을 수 없었다,그는 조금 단순한 사람으로 보인다.,잊어버린
1501,그는 너무 많이 사용했다,그는 낭비하는 사람으로 보인다.,지루한
1502,그는 출근을 위해 옷을 입었다,그는 책임감 있는 사람으로 보인다.,정장을 입은
1503,그는 얼룩을 제거했다,철저하고 꼼꼼한 사람으로 보인다.,이제 깨끗한(clean)
1504,그는 다시 고개를 흔들었다,그는 불만스러운 사람으로 보인다.,진정한
1505,그는 혼자 술을 마셨다,그는 혼자서도 즐거운 시간을 보낼 수 있는 사람으로 보인다.,고독한
1506,그는 스마트폰을 구입했다,그는 현대 사회에서 일상적인 소비자로 보인다.,스마트한
1507,그는 타이어를 걷어찼다,그는 분노한 사람으로 보인다.,강력한
1508,그는 전에는 한 번도 해본 적이 없었다,그는 새로운 도전을 두려워하지 않고 새로운 경험에 열린 사람으로 보인다.,초보자
1509,그는 새 스웨터를 구입했다,그는 쇼핑을 즐기는 사람으로 보인다.,새로운
1510,그는 친구에게 고마워했다,그는 친절하고 감사하는 사람으로 보인다.,따뜻한
1511,그는 실수로 발을 헛디뎠었다,실수를 인정하고 자신의 부족함을 인정하는 사람으로 보인다.,부끄러운
1512,그는 두통이 생겼다,그는 불편해하는 사람으로 보인다.,아프는
1513,그는 친구에게 조언을 구했다,친절하고 신뢰할 만한 사람으로 보인다.,현명한
1514,그는 탄산음료를 끊었다,건강을 중요시하고 자기관리에 신경을 쓰는 사람으로 보인다.,건강한
1515,그는 자리를 찾았다,그는 결단력이 있는 사람으로 보인다.,자신감 있는
1516,그는 목발을 사용했다,그는 부상을 입은 사람으로 보인다.,저는 목발을 사용했다. 그는 다리가 다친 사람으로 보인다.
1517,그는 여자처럼 흐느꼈다,그는 감정을 표현하는 데 자유로운 사람으로 보인다.,여성적인
1518,그는 가방을 확인했다,심각한 경찰관으로 보인다.,신뢰할 만한
1519,그는 지갑을 잃어버렸다,그는 조심하지 않는 경솔한 사람으로 보인다.,우물쭈물하는
1520,그는 첫 번째 치아를 잃었다,그는 치과 환자로 보인다.,더 나이든(age)
1521,그는 데이트 상대를 만났다,그는 데이트 상대를 만나러 기분 좋은 사람으로 보인다.,멋진
1522,그는 실수로 총을 쐈다,초심자 혹은 경험이 부족한 사람으로 보인다.,무심한
1523,그는 나머지를 맡았다,책임감이 강한 사람으로 보인다.,책임 있는
1524,그는 머리를 손질했다,세련된 사람으로 보인다.,정돈된
1525,그는 주차할 차를 찾았다,차주 혹은 운전자로 보인다.,낯선
1526,그는 공에서 눈을 떼지 못했다,그는 열정적인 스포츠 팬으로 보인다.,열정적인
1527,그는 남자친구에게 물어봤다,그는 관심을 가지고 배려심이 있는 사람으로 보입니다.,"""그는 어떤 사람으로 보인다."""
1528,그는 실수로 폰을 눌러 전화를 걸었다,그는 조금 어설프게 행동하는 사람으로 보인다.,초염하는
1529,그는 학교까지 가는 카풀을 놓쳤다,그는 조금 서둘러 학교에 가야 하는 성실한 학생으로 보인다.,실수한
1530,그는 머리를 부딪쳤다,그는 조심성이 부족한 사람으로 보인다.,무서운
1531,그는 친구들을 다시 만나게 되었다,그는 사교적인 사람으로 보입니다.,다시 행복한
1532,그는 물을 많이 마셨다,그는 건강에 관심이 많은 사람으로 보인다.,건강한
1533,그는 커피를 마시고 싶어 했다,그는 커피를 좋아하는 사람으로 보인다.,피곤한
1534,그는 어느 날 아침 눈을 떴다,어떤 사람인지에 대한 정보가 부족하기 때문에 명확한 답변을 제공할 수 없습니다.,어느새 새로운
1535,그는 남자 친구의 부모님을 만났다,그는 진지하고 예의 바르며 존중받을 만한 사람으로 보인다.,존중받는
1536,그는 하루 종일 울었다,그는 슬픈 사람으로 보인다.,슬픈
1537,그는 메일을 확인했다,그는 현재 메일함을 확인하는 사람으로 보인다.,신뢰할 만한
1538,그는 무기를 꺼내들었다,폭력적이고 위협적인 사람으로 보인다.,위험한
1539,그는 바로 옆에 있었다,주변 상황을 주시하고 도움이 필요한 사람으로 보입니다.,옆에 있는 사람으로 보인다.
1540,그는 집에 늦게 들어왔다,그는 불참을 설명하지 않고 늦게 도착한 것으로 보인다.,지루한
1541,그는 애완 고양이를 키우고 싶어했다,그는 애완동물을 좋아하는 사람으로 보인다.,친근한
1542,그는 천천히 고개를 흔들었다,그는 신중하고 조심스러운 사람으로 보인다.,지루한
1543,그는 기사를 읽었다,지식을 중요시하고 교양 있는 사람으로 보인다.,지적인
1544,그는 학교에서 일진행세를 했다,그는 권력을 강요하는 사람으로 보인다.,자신 있는
1545,그는 드레스를 찾았다,그는 결혼식에 참석할 사람으로 보인다.,아름다운
1546,그는 초대를 받았다,그는 인기 있는 사람으로 보인다.,신뢰할 만한
1547,그는 자신의 냄새를 맡았다,자기 중심적이고 자기만족에 빠진 사람으로 보인다.,자신을 알고 있는
1548,그는 가슴에 묻은 더러운 물을 닦아내었다,그는 꼼꼼하고 정돈을 좋아하는 사람으로 보인다.,깨끗한(clean)
1549,그는 늦을 것 같았다,그는 부주의한 사람으로 보인다.,차분한
1550,그는 키가 커졌다,그는 성장한 청소년으로 보인다.,더 성숙된
1551,그는 셔츠에 맥주를 엎질렀다,그는 조금 어설픈 사람으로 보인다.,쓸데없는
1552,그는 자신에 대해 글을 썼다,자기 자신에 대해 솔직하게 이야기하는 사람으로 보인다.,자신을 알고 있는
1553,그는 속눈썹을 깜빡거렸다,그는 놀란 사람으로 보인다.,부드러운
1554,그는 블로그를 시작했다,그는 정보를 공유하고 소통을 즐기는 개인으로 보인다.,창의적인
1555,그는 그녀의 가슴을 움켜쥐었다,폭력적인 사람으로 보인다.,흥분된
1556,그는 저글링하는 법을 배웠다,그는 열정적이고 끈기 있는 사람으로 보인다.,용기 있는
1557,그는 뭔가 대단한 사람처럼 들렸다,이 사람은 자신감 있고 능력 있는 사람으로 보인다.,자신감 있는
1558,그는 선물을 열어봤다,그는 호기심 많은 사람으로 보인다.,따뜻한
1559,그는 아침 식사를 준비했다,그는 책임감 있고 협동적인 사람으로 보인다.,정돈된
1560,그는 남자친구와 헤어졌다,그는 상처받은 사람으로 보인다.,이젠 실망한
1561,그는 어쨌든 하나를 사기로 결심했다,그는 사기꾼으로 보인다.,결국
1562,그는 수영을 하고 싶어했다,그는 활동적이고 스포츠를 즐기는 사람으로 보인다.,운동을 좋아하는
1563,그는 보안팀을 호출했다,보안에 민감한 사람으로 보인다.,신뢰할 만한
1564,그는 도시를 탐험했다,도시 탐험가로 보인다.,탐험가
1565,그는 다른 차를 들이받았다,그는 운전 중 무심코 실수를 저질렀을 것으로 보인다.,피해를 입은
1566,그는 사탕을 찾았다,사탕을 찾는 사람으로 보인다.,달콤한
1567,그는 올해도 참석했다,그는 충실한 사람으로 보인다.,올해도 참석했다. 그는 여전히 활기찬 사람으로 보인다.
1568,그는 썰매를 타러 갔다,그는 쾌활하고 유쾌한 사람으로 보인다.,흥분된
1569,그는 여자 친구에게 전화했다,그는 친절하고 소통을 중요시하는 사람으로 보인다.,"""그는 정말로 로맨틱한 사람으로 보인다."""
1570,그는 퇴근 후 집에 도착했다,일반적으로 일을 마치고 집에 돌아오는 평범한 사람으로 보입니다.,피곤한
1571,그는 순간을 영원처럼 느꼈다,그는 로맨틱한 사람으로 보인다.,그는 평화로운 사람으로 보인다.
1572,그도 자신을 좋아했다,자기 중심적이고 자기만족을 중요시하는 사람으로 보인다.,자신을 좋아하는
1573,그는 똑같이 반을 나눴다,공평하고 이해심 있는 사람으로 보인다.,정직한
1574,그는 하루 종일 TV를 시청했다,그는 TV 중독자로 보인다.,게으른
1575,그는 등산을 좋아했다,그는 야외 활동을 즐기는 사람으로 보인다.,적극적인
1576,그는 결국 그 사실을 알게 되었다,지적이고 호기심 많은 사람으로 보인다.,어떤
1577,그는 우편으로 편지를 받았다,그는 평범한 사람으로 보인다.,정직한
1578,그는 그녀를 돌봤다,따뜻하고 배려심 있는 사람으로 보인다.,착한
1579,그는 소변을 많이 봤다,그는 건강 문제를 겪고 있는 사람으로 보인다.,병원에 가야 할
1580,그는 좋은 밤을 보내었다,그는 행복한 사람으로 보입니다.,친절한
1581,그는 새 휴대폰이 필요했다,그는 현대적이고 기술에 관심이 있는 사람으로 보인다.,신뢰할 만한
1582,그는 심해 낚시에 나섰다,그는 모험을 즐기고 도전을 두려워하지 않는 사람으로 보인다.,열정적인
1583,그는 입소문이 났다,그는 사람들에게 관심을 끄는 사람으로 보인다.,자신감 있는
1584,그는 코끝을 손으로 치켜올렸다,자신의 행동에 자신감을 가지고 있는 사람으로 보인다.,자신감 있는
1585,그는 저녁 식사로 피자를 주문했다,그는 편식을 좋아하는 사람으로 보인다.,이제는 배가 고팠던 것 같다.
1586,그는 아버지와 함께 낚시를 하러 갔다,그는 가족을 중요시하고 즐거운 활동을 즐기는 사람으로 보인다.,친근한
1587,그는 새 토스터기를 구입했다,그는 식사를 즐기고 집에서 시간을 보내는 평범한 사람으로 보인다.,신선한
1588,그는 아이스 스케이트를 타러 갔다,그는 취미를 즐기는 스포츠 애호가로 보인다.,얼어 붙은
1589,그는 집으로 돌아가는 버스를 찾았다,그는 일상적이고 평범한 사람으로 보인다.,외로운
1590,그는 바이올린을 배웠다,음악을 즐기고 예술적인 흥미를 가진 사람으로 보인다.,음악적인
1591,그는 숲에서 길을 잃었다,그는 혼란스러워하는 사람으로 보인다.,허물없이
1592,그는 농구팀에 합류했다,그는 스포츠에 관심이 많은 사람으로 보인다.,자신감 있는
1593,그는 1981년에 결혼했다,가정적이고 가족을 중시하는 사람으로 보인다.,가장 행복한
1594,그는 학교에 갈 옷을 입었다,학생으로 보인다.,정중한
1595,그는 가까이 다가왔다,친절하고 친근한 사람으로 보인다.,친근한
1596,그는 베이비 샤워가 있었다,그는 가족 중심의 관대한 사람으로 보인다.,아버지
1597,그는 귀여워 보였다,.,친근한
1598,그는 어디서부터 시작해야 할지 몰랐다,그는 혼란스러운 상황에서 결단력이 부족한 사람으로 보인다.,무력한
1599,그는 삼촌의 농장을 방문했다,"

그는 가족을 소중히 여기고 가정적인 사람으로 보인다.",친절한
1600,그는 아마존에서 노트북을 주문했다,그는 온라인 쇼핑을 선호하는 현대적이고 편리를 추구하는 사람으로 보인다.,신뢰할 만한
1601,그는 친구들과 함께 앉아 있었다,그는 사교적인 사람으로 보인다.,친근한
1602,그는 연을 날리러 갔다,그는 스포츠를 즐기고 활동적인 사람으로 보인다.,자유로운
1603,그는 자랑하며 시간을 보내었다,그는 자신에 대해 자만심이 강한 사람으로 보인다.,자기 중심적인
1604,그는 바닥에 구토물을 봤다,그는 술에 취한 사람으로 보인다.,걷고 있는
1605,그는 어디서든 그녀를 찾았다,그는 그녀를 열정적으로 찾는 사람으로 보인다.,어떤
1606,그는 정말 추위를 느꼈다,그는 냉정하고 강인한 사람으로 보인다.,차가운
1607,그는 친구에게 연락했다,그는 친근하고 소통을 중요시하는 사람으로 보인다.,친절한
1608,그는 게임을 플레이했다,그는 게임을 즐기는 사람으로 보인다.,열정적인
1609,그는 헬멧을 쓰고 있었다,안전을 중요시하는 사람으로 보인다.,안전을 중요시하는
1610,그는 옷을 갈아입었다,변화를 즐기고 새로운 것을 시도하는 개방적인 사람으로 보인다.,새롭게
1611,그는 첫 차를 구입했다,그는 독립적이고 자긍심이 강한 사람으로 보인다.,신뢰할 만한
1612,그는 자신의 차를 찾았다,차주로 보인다.,"뿐만 아니라, 자신의 차를 찾아 기뻐하는 사람으로 보인다."
1613,그는 서핑하는 법을 배웠다,그는 적극적이고 모험을 즐기며 능동적인 사람으로 보인다.,쿨한
1614,그는 스케이트보드를 구입했다,그는 활동적이고 모험을 즐기는 사람으로 보인다.,쿨한(cool)
1615,그는 정말 아팠다,그는 취약한 사람으로 보인다.,아픈
1616,그는 다른 차량과 충돌했다,그는 운전자로 보인다.,부상을 입은
1617,그는 압도적인 차이로 승리했다,그는 자신의 능력과 실력으로 인해 자신감이 넘치는 사람으로 보인다.,자신감이 넘치는
1618,그는 소음을 들었다,주변 환경에 민감한 사람으로 보인다.,화가 나는
1619,그는 새 옷이 필요했다,그는 쇼핑을 좋아하는 사람으로 보인다.,새로운 옷을 입은
1620,그는 대출을 받았다,그는 경제적으로 어려움을 겪고 있는 사람으로 보인다.,신뢰할 만한
1621,그는 어쨌든 그녀를 사랑했다,그는 어쨌든 로맨틱한 사람으로 보인다.,어쨌든 그녀를 사랑했다. 그는 착한 사람으로 보인다.
1622,그는 잠깐 낮잠을 잤다,그는 피곤한 사람으로 보인다.,피곤한
1623,그는 파티를 주최했다,파티를 주최한 사람으로 보입니다.,친화적인
1624,그는 그다음에 서 있었다,"주변 상황에 따라 다르겠지만, 그는 기다리거나 주목하는 사람으로 보일 수 있습니다.","""신중한"" 사람으로 보인다."
1625,그는 머리를 끄덕였다,".

그는 동의하는 사람으로 보인다.",친절한
1626,그는 강아지를 발견했다,그는 동물을 사랑하는 따뜻한 사람으로 보인다.,친절한
1627,그는 토스트를 먹었다,평범한 사람으로 보인다.,건강한
1628,그는 결국 결심했다,결단력 있는 사람으로 보인다.,결국 결심했다. 그는 단호한 사람으로 보인다.
1629,그는 제 개를 데리고 산책을 나갔다,그는 책임감 있는 반려동물 주인으로 보인다.,친근한
1630,그는 아직 갈 길이 멀었다,그는 미래의 가능성을 가진 젊은이로 보인다.,어린
1631,그는 나무에 부딪혔다,그는 조심성이 없는 사람으로 보인다.,부상을 입은
1632,그는 숨바꼭질을 하고 있었다,그는 놀이를 즐기는 사람으로 보인다.,어딘가에 숨어 있는
1633,그는 고양이를 발견했다,고양이를 발견한 사람으로 보입니다.,친근한
1634,그는 자신의 신발을 찾았다,그는 신중하고 철저한 사람으로 보인다.,정리된(rejuvenated)
1635,그는 온몸이 젖었다,그는 비 오는 날 외출한 사람으로 보인다.,물에 젖은
1636,그는 스트라이크를 받았다,그는 야구 선수로 보인다.,피곤한
1637,그는 쇼를 시청했다,그는 TV를 좋아하는 사람으로 보인다.,똑똑한
1638,그는 갱단에 가입했다,그는 범죄자로 보인다.,위험한
1639,그는 양치질을 하고 있었다,그는 개인 위생에 신경을 쓰는 깔끔한 사람으로 보인다.,깔끔한
1640,그는 공을 훔쳤다,도둑으로 보입니다.,나쁜
1641,그는 조언을 구했다,그는 현명하고 결정력 있는 사람으로 보인다.,어떤
1642,그는 손가락을 가리켰다,그는 지시나 명령을 하는 사람으로 보인다.,자신을 위대한
1643,그는 고양이에게 사료를 줬다,동물을 존중하고 배려하는 사람으로 보인다.,친절한
1644,그는 신선한 공기를 마셨다,"그는 활기찬, 에너지 넘치는 사람으로 보인다.",산뜻한
1645,그는 할 말이 있었다,그는 결단력 있는 사람으로 보인다.,자신감 있는
1646,그는 우편물을 집에 배달했다,우편물을 배달하는 우체부로 보인다.,우편물을 집에 배달했다. 그는 친절한 사람으로 보인다.
1647,그는 친구들과 함께 영화를 봤다,그는 사교적인 사람으로 보인다.,친화적인
1648,그는 텍사스로 이사했다,그는 새로운 시작을 원하는 모험적인 사람으로 보인다.,텍사스 출신
1649,그는 그녀에게 약을 줬다,그는 그녀에게 해를 가하려는 사람으로 보인다.,친절한
1650,그는 함께 모여 있었다,사교적이고 친화력이 뛰어나는 사람으로 보인다.,그는 친근한 사람으로 보인다.
1651,그는 냄새가 끔찍했다,그는 청결을 중요시하지 않는 사람으로 보인다.,"""그는 냄새가 끔찍했다. 그는 지저분한 사람으로 보인다."""
1652,그는 복권을 구매했다,그는 운이 좋은 사람으로 보인다.,운이 좋은
1653,그는 변기 물을 내렸다,그는 예의 바르고 청결을 중요시하는 사람으로 보인다.,친절한
1654,그는 자신의 차례가 왔다,자신감 있고 책임감 있는 사람으로 보인다.,자신감 있는
1655,그는 고양이를 반려동물로 키우고 있었다,그는 애완동물을 사랑하는 사람으로 보인다.,친근한
1656,그는 공을 잡았다,그는 야구 선수로 보인다.,능력 있는
1657,그는 잘 자고 있었다,그는 피곤한 사람으로 보인다.,피곤한
1658,그는 자신에게 보상했다,자기 중심적이고 보상을 받는 데에 관심이 있는 사람으로 보인다.,자기 도움을 받는
1659,그는 즐거운 밤을 보내고 있었다,그는 즐거운 시간을 즐기는 사람으로 보인다.,행복한
1660,그는 과학 시험이 있었다,열심히 공부하는 학생으로 보인다.,지능적인
1661,그는 완벽한 반려견을 찾았다,그는 동물을 사랑하는 책임감 있는 사람으로 보인다.,그는 행복한
1662,그는 아기가 있었다,부모 혹은 보호자로 보입니다.,부드러운
1663,그는 넘어져 팔이 부러졌다,그는 불행한 사람으로 보인다.,무력한
1664,그는 누군가에게 말했다,그는 친절하고 사교적인 사람으로 보입니다.,예의 바르고 친절한
1665,그는 떠났다,그는 결단력 있는 사람으로 보인다.,불행한
1666,그는 아기처럼 울었다,그는 취약하고 무력한 사람으로 보인다.,어리석은
1667,그는 그것을 저녁 식사로 먹었다,음식을 저녁 식사로 먹는 사람으로 보인다.,포만한
1668,그는 자세히 살펴봤다,관심 있는 사람으로 보인다.,신중한
1669,그는 냄새가 정말 심했다,그는 개인 위생에 신경을 쓰지 않는 사람으로 보인다.,더럽힌
1670,그는 걷는 법을 배웠다,그는 초등학생으로 보인다.,자신 있는
1671,그는 첫 아기가 생겼다,그는 행복한 부모로 보인다.,아버지
