,input,A,B,B2
1257,그는 탭댄스를 배웠다,그는 댄스 공연에 출연하다,댄스 대회에 참가하다,그는 댄스 스튜디오에서 춤을 추는 것을 좋아했다
1258,그는 친구와 가족을 초대했다,그는 생일 파티를 열기로 결정했다,결혼식을 하다,그는 큰 파티를 열기로 결정했다
1259,그는 영화를 골랐다,그는 그녀와 함께 보기 좋은 영화를 찾다,여자친구와 함께 영화를 보기로 했다,그는 영화 리뷰를 읽었다
1260,그는 2위를 차지했다,그는 경주에서 두 번째로 도착하다,열심히 연습하다,그는 많은 훈련을 하고 노력했다
1261,그는 정말 웃겼다,그는 그의 친구들에게 재미있는 이야기를 했다,오랜만에 친구들과 만나다,그가 재치있는 농담을 했다
1262,그는 곧 올 예정였다,그는 비행기 표를 예약하다,비행기를 놓치다,그는 비행기 표를 예약했다
1263,그는 그럼에도 팀을 구성했다,그는 어떤 문제에 대해 해결책을 찾기로 결심했다,모든 도전과 어려움을 극복하다,그는 모든 어려움을 이겨냈다
1264,그는 의사와 상담했다,그는 건강이 안 좋다고 느끼다,건강 문제를 발견하다,그는 몇 주 동안 건강 문제로 고통받았다
1265,그는 저녁 파티가 있었다,그는 음식을 준비했다,친구들을 초대하다,그는 음식을 준비했다
1266,그는 고등학교에 입학했다,그는 중학교를 졸업했다,중학교를 졸업하다,그는 수능을 잘 봤다
1267,그는 하루 종일 기다렸다,그는 그녀의 연락을 받기 위해 기다렸다,버스가 늦게 도착하다,그는 중요한 소식을 기다리고 있었다
1268,그는 그녀 위에서 안식을 취했다,그는 그녀와 심각한 싸움을 했다,긴 일주일 후에 피로하다,그는 그녀를 위해 로맨틱한 저녁 식사를 준비했다
1269,그는 부모님을 찾았다,그는 그의 어린 시절을 보내던 고교를 방문했다,유기 아동이었다,그는 장난감 가게에서 길을 잃었었다
1270,그는 저녁 식사로 햄버거를 먹었다,그는 긴 일한 후에 편의점에서 식사를 사다,다이어트를 시작하다,그는 식당에서 햄버거를 주문했다
1271,그는 어쨌든 그것을 마셨다,그는 친구들과 함께 술자리를 즐기다,친구들과 함께 술자리를 가졌다,그는 스트레스를 많이 받았다
1272,그는 팔을 다쳤다,그는 스케이트보드를 타고 있었다,자전거 사고를 당하다,그는 사고를 당했다
1273,그는 골프 치는 법을 배웠다,그는 친구와 함께 골프를 하러 갔다,휴가를 떠나다,그는 골프 코치를 고용했다
1274,그는 상자를 찾았다,그는 창고를 정리하다,집안을 정리하다,그는 창고를 철거했다
1275,그는 검진을 받았다,그는 최근에 건강 상태가 걱정되어서 의사를 만나러 갔다,건강이 계속해서 악화되다,그는 건강이 걱정되어 있었다
1276,그는 다리를 부러뜨렸다,그는 사고를 당하다,스노보딩을 하다,그는 스케이트보드를 타고 있었다
1277,그는 물건을 카운터로 가져갔다,그는 그 물건을 구매하러 갔다,현금을 지불하다,그는 가격을 확인했다
1278,그는 멋져 보였다,그는 새로운 옷을 입었다,새로운 옷을 입고 나오다,그는 새로운 옷을 입었다
1279,그는 여자 친구를 초대했다,그는 그녀와 로맨틱한 식사를 하기로 약속하다,집에서 파티를 열다,그녀와의 관계가 깊어졌다
1280,그는 심하게 화상을 입었다,그는 화재를 진화하려고 노력하다,요리를 하다가 기름이 튀었다,그는 뜨거운 주전자를 들고 있었다
1281,그는 다이어트를 시작했다,그는 건강을 위해 운동을 시작했다,건강 검진에서 비만 판정을 받다,그는 건강검진을 받았다
1282,그는 자판기에서 탄산음료를 가져왔다,그는 동전을 넣고 버튼을 눌러 음료수를 선택했다,긴 시간 동안 걷다,지루한 회의가 계속되고 있었다
1283,그는 기분이 나아졌다,그는 오랜만에 좋아하는 음악을 듣고 있었다,오랜만에 친구들과 만나다,그는 오랜만에 친구들과 즐거운 시간을 보냈다
1284,그는 메모를 받았다,그는 중요한 회의 일정을 확인하다,회의에 늦었다,그는 회의 일정을 확인했다
1285,그는 시험을 놓쳤다,그는 전날 밤에 공부를 하지 않았다,알람을 끄다,그는 알람을 설정하지 않았다
1286,그는 강아지를 데려왔다,그는 동물 보호소에서 강아지를 입양하기로 결정했다,동물 보호소에서 입양하다,그는 동물 보호소에서 강아지를 입양했다
1287,그는 퇴근 후 집에 돌아왔다,그는 하루 종일 일을 하고 지친 상태였다,하루 종일 일하다,그는 퇴근 후에 마트에 들러 장보기를 했다
1288,그는 너무 즐겼다,그는 술에 취하다,음주 후에 운전하다,그는 오랜만에 친구들과 만났다
1289,그는 수영하러 갔다,그는 더위를 피하기 위해 수영하러 갔다,더위를 피하고 싶었다,그는 수영복을 입었다
1290,그는 새 매트리스를 구입했다,그는 불편한 침대에서 잠을 설치다,불편한 침대에서 자다,그는 등골이 아프다고 느꼈다
1291,그는 머리를 긁적였다,그는 머리가 가렵다고 말했다,샴푸를 바꾸다,그는 샴푸를 바꿔봤다
1292,그는 할머니를 방문했다,그는 그녀의 생일을 축하하러 갔다,오랜만에 할머니를 보다,그녀가 생일을 맞았다
1293,그는 대사를 잊어버렸다,그는 그녀와의 약속을 잊어버렸다,긴장해서 발표 자료를 완전히 외우지 못하다,그는 바빠서 정신이 없었다
1294,그는 그녀를 닮은 것 같았다,그는 그녀의 사진을 보고 있었다,어머니의 특징을 물려받다,그는 자신의 가족과 비슷한 특징을 발견했다
1295,그는 한 입 베어물었다,그는 그가 배고프다고 말했다,배가 고팠다,그는 먹을 것이 없어서 굶고 있었다
1296,그는 엄지손가락을 빨고 있었다,그는 어린이들을 돌보고 있었다,긴장되어 있다,그는 습관적으로 이를 행동했다
1297,그는 이 아이템에 대한 리콜을 진행했다,그는 제품에 결함이 있음을 발견했다,제품에 결함이 발견되다,그는 이 아이템에 대한 안전 문제를 발견했다
1298,그는 돈이 좀 필요했다,그는 은행에서 대출을 신청하다,친구에게 빚을 갚다,그는 은행 대출을 신청했다
1299,그의 말이 맞았다,그는 그의 주장을 증명할 자료를 찾았다,증거를 제시하다,그는 신중하게 조사를 했다
1300,그는 순진무구했다,그는 사기꾼에게 속아 돈을 잃었다,사기당하다,그는 그녀의 속임수에 속았다
1301,그는 옷장을 업데이트했다,그는 새로운 계절을 맞이하다,다이어트에 성공하다,그는 쇼핑 목록을 작성했다
1302,그는 집에 가자고 했다,그는 밤늦게 되어 집에 가기를 원하다,외부 활동을 하다,그는 일이 끝나기를 기다렸다
1303,그는 새로운 기록을 세웠다,그는 이전 기록을 깨다,오랜 시간동안 훈련한 끝에 일어난 것이었다,그는 많은 훈련을 하고 노력했다
1304,그는 어쨌든 그것을 먹었다,그는 그가 배고프다고 말했다,배고픔을 참다,그는 배가 고팠고 다른 음식이 없었다
1305,그는 술을 마셨다,그는 스트레스를 풀기 위해 술을 마셨다,스트레스를 받다,그는 스트레스를 받고 있었다
1306,그는 큰 소리가 들었다,그는 귀를 청소했다,창문을 깨다,그는 문이 열리는 소리를 들었다
1307,그는 안 좋아 보였다,그는 전날 밤에 잠을 제대로 못 자서 피곤해 보였다,아프다,그는 밤을 잠을 제대로 못 자고 있었다
1308,그는 생산성을 향상시켰다,그는 새로운 일정을 설정하다,새로운 시스템을 도입하다,그는 업무 일정을 재구성했다
1309,그는 길을 잘못 들어섰다,그는 지도를 확인하지 않고 길을 가다가 방향을 잃었다,지도를 잃다,그는 지도를 확인하지 않았다
1310,그는 고등학교를 졸업했다,그는 대학 진학을 위해 노력했다,열심히 공부하다,그는 대학 진학을 위해 노력했다
1311,그는 할로윈 파티에 초대받았다,그는 그의 친구와 함께 할로윈 코스튬을 고르고 있었다,친구들과의 관계를 다시 좋게 하다,그는 코스튬을 사러 쇼핑을 갔다
1312,그는 그것을 페이스북에 게시했다,그는 그 사진을 찍기 전에 친구들과 함께 여행을 다녀왔다,사생활을 공개하다,그는 사진을 찍었다
1313,그는 셔츠에 와인을 엎질렀다,그는 식사 중에 와인을 마시다,식사 중에 실수로 와인잔을 쏟다,그는 테이블 위에서 손을 놓았다
1314,그는 호텔을 예약했다,그는 여행을 계획하다,여름 휴가를 계획하다,그는 휴가를 신청했다
1315,그는 단 것을 너무 많이 먹었다,그는 다이어트를 시작하려고 했다,혈당 수치를 확인하다,그는 스트레스를 많이 받았다
1316,그는 인사를 했다,그는 새로운 직장에 입사했다,친구를 만나다,그는 상대방을 멀리서부터 알아보고 있었다
1317,그는 성적표를 받았다,그는 시험을 보다,시험을 보고 나서 일어났다,그는 시험을 열심히 공부했다
1318,그는 조난당한 고양이를 도왔다,그는 동물 구조 대원이다,동물 보호소에서 봉사하다,그는 고양이의 울음소리를 들었다
1319,그는 다음 단계로 도약했다,그는 열심히 연습하고 노력했다,열심히 일한 결과,그는 자기계발에 많은 시간을 투자했다
1320,그는 새 애완동물을 얻었다,그는 독거노인을 위해 반려견을 입양하다,혼자 사는 것이 너무 외로워하다,그는 오랜 시간 동안 혼자 살았다
1321,그는 차를 마셨다,그는 친구와 함께 술자리에 있었다,운전 중에 사고를 당하다,그는 운전을 멈추고 술을 마시기로 결정했다
1322,그는 구매를 원했다,그는 은행 계좌 잔고를 확인하다,새로운 아이폰을 발표하다,그는 상품의 가격을 확인했다
1323,그는 휴대폰을 반납했다,그는 이사를 하다,계약을 끝내다,그는 친구와 함께 술을 마셨다
1324,그는 하루 종일 아무것도 먹지 않았다,그는 다이어트를 시작하다,건강한 식사를 준비하다,그는 소화불량으로 인해 식욕이 없었다
1325,그는 라이터를 다시 가져왔다,그는 담배를 피우기로 결정했다,담배를 피우다,그는 담배를 피우기 위해 필요했다
1326,그는 친구를 이겼다,그는 게임을 잘하다,오랜만에 승리하다,그는 게임을 연습했고 전략을 계획했다
1327,그는 바지를 적셨다,그는 아침에 옷장을 정리하다,비 오는 날에 밖으로 나갔다,그는 땀을 많이 흘렸다
1328,그는 학교가 끝나면 집으로 돌아갔다,그는 수업이 끝나면 버스를 타고 집으로 돌아갔다,버스를 타다,그는 학교가 끝나면 친구들과 약속을 잡았다
1329,그는 다른 발로 발차기를 했다,그는 축구를 연습하다,축구 경기에서 부상을 입다,그는 상대방의 방어를 피하기 위해 전략을 세웠다
1330,그는 머리가 짧았다,그는 머리를 자르러 이발소에 갔다,기부를 위해 머리를 깎다,그는 머리를 자르러 이발소에 갔었다
1331,그는 레드 와인을 엎질렀다,그는 와인잔을 들다,새로운 흰색 셔츠를 입다,그는 실수로 테이블을 밀었다
1332,그는 대머리가 되었다,그는 머리를 면도하다,머리를 면도하다,그는 머리카락이 점점 빠지고 있었다
1333,그는 유모차에서 장난감을 던졌다,그는 형제와 싸우고 있었다,지루해서 그랬다,그는 화가 나서 소리를 질렀다
1334,그는 교통사고를 당했다,그는 차를 운전하고 있었다,빨리 운전하고 있었기 때문에 일어났다,그는 신호를 무시하고 도로를 횡단했다
1335,그는 팔굽혀펴기를 했다,그는 군대에 입대하기 전에 체력을 강화하기 위해 운동을 했다,운동을 시작하다,그는 근육을 강화하기 위해 운동을 시작했다
1336,그는 친구를 만났다,그는 약속 장소로 가다,오랜만에 친구를 보다,그는 학교에서 수업을 들었다
1337,그는 풍선을 받았다,그는 생일 축하를 받았다,생일 축하 파티에 참석하다,그의 친구들이 파티를 준비했다
1338,그는 팁을 남겼다,그는 서비스가 좋았다고 생각했다,서비스가 매우 좋았기 때문에 일어났다,그는 음식이 맛있게 나왔다고 생각했다
1339,그는 손톱을 물어뜯었다,그는 시험을 걱정하고 있었다,시험을 보다,그는 긴장되어 있었다
1340,그는 다리를 흔들었다,그는 의자에 앉아서 기다리고 있었다,신경 쇄약을 겪다,그는 심심해서 안절부절 못했다
1341,그는 반려동물을 입양했다,그는 동물 보호소를 방문하여 입양을 결정했다,동물 보호소에 봉사활동을 하다,그는 동물 보호소에서 자원봉사를 하고 있었다
1342,그는 빠르게 발길질했다,그는 버스를 놓치지 않기 위해 서두르고 있었다,마라톤에 참가하다,그는 누군가를 도와야 했다
1343,그는 네가 편지를 보내줘서 고마워했다,그는 그녀에게 생일 카드를 보내다,오랜만에 소식을 듣다,그는 네가 자주 연락하지 않는다고 생각했다
1344,그는 순간을 몇 시간처럼 느꼈다,그는 새로운 경험을 하다,극도로 긴장하다,그는 스릴 넘치는 활동을 즐겼다
1345,그는 어쨌든 하나를 구입했다,그는 쇼핑을 하러 갔다,상점을 돌아다니다가 날카로운 할인 가격에 놀라다,그는 원하는 물건을 사기 위해 절약했다
1346,그는 전공을 바꿨다,그는 대학에서 새로운 전공을 선택했다,새로운 직업에 관심을 갖다,그는 자신의 흥미가 다른 분야로 변했다
1347,그는 버스를 놓쳤다,그는 출발 시간을 잘못 알고 있었다,시간을 잘못 계산하다,그는 출발 시간을 확인하지 않았다
1348,그는 아무것도 걱정하지 않았다,그는 그의 일을 다 끝내고 휴식을 취했다,모든 문제를 해결했다,그는 모든 것을 철저히 계획하고 준비했다
1349,그는 뭔가 고약한 냄새가 났다,그는 식사 후에 속이 아프다고 느꼈다,음식을 너무 많이 먹다,그는 냉장고를 열었다
1350,그는 친구를 때렸다,그는 그의 친구에게 화가 나서 때렸다,화를 내고 있었다,그는 화가 나서 제정신이 아니었다
1351,그는 개를 데려왔다,그는 동물 보호소에서 개를 입양하다,동물 보호소에서 입양하다,그는 동물 보호소에서 입양 신청을 했다
1352,그는 남편을 잃었다,그녀는 그녀의 남편이 심장 마비로 사망하기 전에 그와 함께 저녁을 먹었다,깊은 슬픔에 빠지다,그는 교통사고로 크게 다쳤다
1353,그는 심지어 동전 지갑도 만들었다,그는 돈을 절약하려고 노력하다,봉사활동을 하다,그는 가죽을 구매했다
1354,그는 공원에 가고 싶어 했다,그는 오랫동안 집에만 있었다,오랜만에 휴식을 취하다,그는 집에서 오랜 시간을 보냈다
1355,그는 데이트를 하러 가는 중였다,그는 그녀에게 꽃다발을 선물하려고 한다,갑자기 비가 오다,그녀에게 꽃을 선물했다
1356,그는 재미있는 소리를 내었다,그는 웃음을 참지 못하다,웃음을 참지 못하다,그는 유머 감각이 뛰어났다
1357,그는 자동차 키를 찾을 수 없었다,그는 출발하기 전에 집 안을 청소했다,집 안을 청소하고 나서 일어났다,그는 집 안을 청소하고 있었다
1358,그는 온라인 검색을 했다,그는 여행 계획을 세우고 있다,새로운 요리 레시피를 찾다,그는 도서관에 가서 책을 찾았다
1359,그는 자신의 아버지를 찾았다,그는 그의 아버지가 실종되었음을 알게 되었다,세상을 떠나다,그는 수십 년 동안 그를 찾아 헤맸다
1360,그는 목표물을 놓쳤다,그는 활을 잘못 쏘다,활을 쏘다,그는 총을 제대로 조준하지 못했다
1361,그는 배낭을 챙겼다,그는 등산을 가기로 결정했다,그는 여행을 떠나기로 결정하다,그는 여행용품을 살 준비를 했다
1362,그는 인형을 찾았다,그는 그의 어린이 시절을 회상하다,침대 밑을 청소하다,그의 여동생이 자신의 인형을 분실했다고 울어서 찾았다
1363,그는 정말 늦었다,그는 알람을 끄고 계속 자다,교통체증에 갇혔다,그는 자신의 시계를 잃어버렸다
1364,그는 안경을 찾았다,그는 시력이 점점 나빠지고 있다,자신의 책상 위에서 찾다,그는 안경을 잃어버렸다
1365,그는 스스로를 진정시켰다,그는 스트레스를 받고 있었다,깊이 숨을 들이마시다,그는 깊게 숨을 들이마셨다
1366,그는 감자튀김을 주문했다,그는 감자튀김을 좋아하다,다이어트를 포기하다,그는 메뉴를 고르느라 시간을 보냈다
1367,그는 아기 이름을 지었다,그는 아내와 함께 아기 이름을 고르기로 결정했다,아내와 함께 몇 시간 동안 고민하다,그는 여러 가지 이름을 고민해 보았다
1368,그는 할로윈 파티에 초대했다,그는 그녀의 친구들에게 할로윈 파티를 열기로 결정하다,친구들과 함께 재미있는 시간을 보내고 싶어하다,그는 재미있는 할로윈 의상을 찾았다
1369,그는 자신의 헤어와 메이크업을 직접 했다,그는 그녀의 친구의 결혼식에 참석하기로 했다,미용실에서 새로운 스타일을 시도하다,그는 유튜토리얼 비디오를 시청했다
1370,그는 결국 굴복했다,그는 그와의 논쟁을 멈추기로 결정했다,자신의 잘못을 인정하다,그는 자신의 주장을 지켜보려고 했다
1371,그는 대화를 원했다,그는 그녀와 친해지고 싶어했다,오랫동안 외로움을 느끼다,그는 오랫동안 외로움을 느꼈다
1372,그는 어느 날 밤 잠이 들었다,그는 하루 종일 일을 하고 피곤했다,하루 종일 일을 하다,그는 침대에 누우면서 책을 읽었다
1373,그는 더 좋은 아이디어가 있었다,그는 그의 팀원들과 함께 브레인스토밍을 했다,새로운 책을 읽다,그는 여러 시간 동안 고민했다
1374,그는 스노클링을 하러 갔다,그는 해변에 도착하다,바닷물에 빠지다,그는 해변에서 수영복을 입었다
1375,그는 엄지손가락을 사용했다,그는 그가 전화를 걸었다,스마트폰으로 게임을 하다,그는 무언가를 들고 떨어뜨렸다
1376,그는 깁스를 했다,그는 스키를 타다 중 다쳤다,스케이트보드를 타다가 다쳤다,그는 농구를 하다 다리를 다쳤다
1377,그는 머리를 다쳤다,그는 사고를 당하다,사고를 당하다,그는 높은 곳에서 떨어졌다
1378,그는 입술을 씹었다,그는 긴장하고 있었다,긴장했다,그는 긴장해서 신경을 곤두세웠다
1379,그는 잿더미에서 부활했다,그는 무덤에 묻혀 있다,모든 희망을 잃다,그는 십자가에 못박혔다
1380,오늘은 그의 결혼식 날였다,그는 그의 약혼녀와 함께 결혼식을 준비했다,여자 친구에게 프러포즈하다,그는 예비 신랑과 함께 이튿날 아침을 보냈다
1381,그는 또다른 아기가 있었다,그는 쌍둥이를 가졌다,이미 3명의 자녀를 낳다,그는 병원에서 초음파를 받았다
1382,그도 그녀를 좋아했다,그는 그녀에게 꽃을 선물하다,그녀를 다시 만나다,그는 그녀와 함께 많은 시간을 보냈다
1383,그는 새 차가 필요했다,그는 그의 차가 고장나다,이전 차량을 사다,그의 이전 차량이 고장나서 수리할 수 없었다
1384,그는 그녀의 입술을 적셨다,그는 그녀와 로맨틱한 데이트를 했다,그녀를 사랑하다,그녀와 로맨틱한 분위기를 공유했다
1385,그는 그녀의 얼굴을 쓰다듬었다,그는 그녀를 사랑하고 있다,그녀를 달래기 위해 하는 행동이다,그녀가 피곤해 보였다
1386,그는 커피를 엎질렀다,그는 서빙하는 도중에 실수를 저지르다,서빙하는 도중에 실수하다,그는 서먹한 테이블에서 작업을 하고 있었다
1387,그는 토론에 참여했다,그는 논쟁 주제에 대해 연구하다,다양한 의견을 듣다,그는 주제에 대해 깊이 연구했다
1388,그는 그물을 찾았다,그는 어항 속의 물고기를 잡으려고 하다,어부와 함께 바닷가로 나갔다,그는 어항을 청소했다
1389,그는 독감 진단을 받았다,그는 최근에 감기 증상이 있었다,감기 증상이 심해지다,그는 몇 일 동안 몸이 아팠다
1390,그는 땅콩 알레르기가 있었다,그는 음식을 먹기 전에 알레르기 유발 식품을 확인했다,땅콩을 먹다,그는 땅콩을 먹었다
1391,그는 약속 일정을 다시 잡았다,그는 이전에 약속을 취소했다,회의를 취소하다,그의 일정이 변경되었다
1392,그는 새로운 사람을 만났다,그는 친구 소개팅을 가기로 했다,이사를 해서 이웃이 되다,그는 이사를 했다
1393,그는 발톱을 드러내었다,그는 그의 손톱을 다듬다,스트레스를 받다,그는 신발을 벗었다
1394,그가 그녀를 데리러 왔다,그는 그녀와 약속을 잡다,"그녀가 밤늦게 집에 도착했고, 안전하게 돌아오도록 하기로 결정하다",그녀에게 꽃다발을 사러 갔다
1395,그는 메스꺼움을 느꼈다,그는 과도한 음주를 한 후에 메스꺼움을 느꼈다,변기를 청소하다,그는 부패한 음식을 먹었다
1396,그는 여자친구와 데이트했다,그는 그녀를 위해 예쁜 꽃다발을 사다,연인과의 특별한 날을 축하하다,그녀에게 꽃다발을 선물했다
1397,그는 동생에게 전화했다,그는 그의 동생이 시험을 치르고 있는지 확인하다,오랜만에 연락하다,그는 동생의 생일을 기억했다
1398,그는 임신 9개월였다,그는 결혼식을 준비하고 있었다,아이를 출산하다,그녀는 약혼 파티를 열었다
1399,그는 가방을 떨어뜨렸다,그는 서둘러서 버스를 타려고 했다,서둘러서 버스를 타려다가 일어나다,그가 서둘러서 걷고 있었다
1400,그는 그것을 어디든 가지고 다녔다,그는 여행용 가방을 샀다,항상 대비책을 갖고 다니기를 좋아하다,그는 항상 준비가 되어 있었다
1401,그는 규칙을 설명했다,그는 그들이 게임을 이해하도록 도와주다,모든 팀원들이 이해하기를 원하다,그는 모두가 이해할 수 있도록 간단하고 명확하게 준비했다
1402,그는 학교에 우산을 가져갔다,그는 그날 비가 올 것을 예상하다,그는 하늘에 구름이 많았고 날씨가 흐려질 것을 예상하다,그는 학교에 우산을 가져갔다
1403,그는 인터넷을 검색했다,그는 정보를 찾기 위해 무엇을 검색하다,새로운 레시피를 찾다,그는 도서관에서 책을 찾았다
1404,그는 다음날이 마감일였다,그는 프로젝트를 완료하다,프로젝트를 미루다,그는 프로젝트를 시작했다
1405,그는 와인을 엎질렀다,그는 실수로 테이블을 밀다,새로운 카펫을 깔다,그는 식탁에서 일어섰다
1406,그는 닻을 내렸다,그는 그의 보트를 정지시키기로 결정했다,바다를 항해하다,그는 항구에 도착했다
1407,그는 거의 끝났다,그는 마라톤을 뛰다,마지막 시험을 치르다,그는 마지막 순간에 힘을 다해 더 노력했다
1408,그는 그녀를 두드렸다,그는 그녀가 문을 열기 전까지 기다렸다,그녀가 문을 열어주기를 기다리다,그녀가 문을 열지 않았다
1409,그는 잘못 짚었다,그는 그가 미끄러지다,상대방의 의도를 잘못 이해하다,그는 제대로 정보를 확인하지 않았다
1410,그는 제한 속도를 초과하여 운전했다,그는 경찰에게 벌금을 내야 했다,교통 사고를 당하다,그는 급하게 시간이 없었다
1411,그는 혈장을 기증했다,그는 혈액 검사를 받다,동네에서 혈액 부족 문제를 알다,그는 건강 검진을 받았다
1412,그는 메시지를 보내었다,그는 그녀에게 미안하다는 메시지를 보내었다,그녀에게 그리움을 토로하다,그녀의 연락처를 찾았다
1413,그는 주머니를 확인했다,그는 지갑을 잃어버렸다,지갑을 놓다,그는 주머니를 확인했다
1414,그는 온라인으로 파일을 업로드했다,그는 문서를 공유하기 위해 이메일을 보내다,보고서를 마무리하다,그는 파일을 컴퓨터에 저장했다
1415,그는 그녀의 일을 망쳐 크게 실망시켰다,그는 그녀에게 맡은 책임을 다 하지 않았다,책임감을 느끼다,그는 자신의 무책임한 태도로 문제를 야기했다
1416,그는 질문에 대한 답변을 드렸다,그는 면접을 보다,심사를 받다,그는 주제에 대해 심도있게 연구했다
1417,그는 마침내 태어났다,그의 부모는 임신 중이었다,그의 부모가 긴 임신 기간을 보내다,그의 부모들은 임신 기간 동안 많은 준비를 했다
1418,그는 한 잔 더 마시고 싶어 했다,그는 스트레스를 풀기 위해 술을 마시다,스트레스를 받다,그는 스트레스를 많이 받았다
1419,그는 고양이에게 캣닙을 줬다,그는 고양이를 키우다,동물 보호소에서 자원 봉사를 하다,그는 고양이가 배고프다고 알아챘다
1420,그는 새 노트북을 구입했다,그는 이제 컴퓨터 과학 수업을 듣다,오랜 기간 동안 절약하여 구매하다,그는 오랜 기간 돈을 모았다
1421,그는 속임수를 썼다,그는 상대방을 속이기 위해 계획을 세우다,돈이 필요하다,그는 자신의 목표를 이루기 위해 모든 방법을 동원하기로 했다
1422,그는 TV를 보고 있었다,그는 즐겁게 시간을 보내고 있다,친구와의 약속을 잊다,그는 친구와의 약속을 취소했다
1423,그는 온 바닥에 쏠았다,그는 삐걱거리는 소리를 들었다,미끄러져서 넘어지다,그는 뜨거운 물을 부었다
1424,그는 핫도그 먹기 대회에 참가했다,그는 핫도그를 많이 먹을 수 있다고 자랑하다,배고파서 점심을 거르다,그는 한 달 동안 핫도그를 연습으로 먹어왔다
1425,그는 무대 공포증이 있었다,그는 어릴 때 학교 연극에서 실수를 저질렀다,연극 출연을 하다,그는 대중 앞에서 말하는 것을 극도로 두려워했다
1426,그는 멀리 있는 물체를 볼 수 있었다,그는 안과에서 렌즈를 처방받았다,안경을 써보다,그는 안경을 착용했다
1427,그는 집으로 돌아가는 길을 찾았다,그는 길을 잃었다,그는 지도를 확인하다,친구에게 도움을 요청했다
1428,그는 자신의 능력을 키웠다,그는 새로운 직책에 지원하기로 결정했다,열심히 연습하다,그는 열심히 연습했다
1429,그는 초인종을 눌렀다,그는 방문자를 기다리고 있었다,친구를 만나러 왔다,그는 문을 여는 소리를 들었다
1430,그는 발목을 뼜다,그는 높은 곳에서 떨어지다,미끄러지다,그는 축구를 하고 있었다
1431,그는 그녀를 밀쳐내었다,그는 그녀와 싸웠다,분노에 휩싸였다,그는 다른 여자와 만났다
1432,그는 그녀에게 빵을 줬다,그는 그녀가 배고프다고 말하자마자 빵을 사러 갔다,그녀가 배고프다고 말하다,그는 빵을 구입했다
1433,그는 자판기에서 사탕을 꺼내었다,그는 동전을 넣었다,동전을 넣다,그는 동전을 넣었다
1434,그는 독감 예방 주사를 맞았다,그는 의사에게 건강 상태를 확인하다,추운 겨울이 오다,그는 의사의 지시에 따라 예방접종을 받았다
1435,그는 섹터에서 건물을 발견했다,그는 지도를 확인하고 있었다,지도를 확인하다,그는 지도를 자세히 살펴보았다
1436,그는 자전거에서 떨어졌다,그는 헬멧을 쓰지 않았다,속도를 너무 빨리 냈다,그는 자전거에서 빠지기 전에 속도를 너무 높게 올렸다
1437,그는 책을 돌려받았다,그는 도서관에 가다,기한을 지나고 나서야 일어났다,그는 대출 기간을 연장했다
1438,그는 침실을 청소했다,그는 친구가 방문할 예정이었다,"그는 친구들을 초대했고, 그들이 떠나고 나서 일어났다",그의 어머니가 방을 정리하라고 시켰다
1439,그는 얼음판 위에서 미끄러졌다,그는 얼음판이 미끄럽다는 것을 알지 못하고 걸어다니다,다리를 다쳤다,그는 얼음판 위에서 신발을 신지 않고 걸었다
1440,그는 기분이 훨씬 나아졌다,그는 그의 친구들과 시간을 보냈다,오랜만에 친구들을 만나다,그는 스트레스와 우울증으로 고통받았다
1441,그는 수건을 가져왔다,그는 운동 후에 씻기 위해 준비를 하고 있었다,그는 수영을 하다,그는 땀을 심하게 흘렸다
1442,그는 졸리다고 느꼈다,그는 밤늦게까지 일을 하다,하루 종일 일을 하다,그는 밤새 업무를 처리했다
1443,그는 얼룩이 생겼다,그는 음식을 먹다가 옷에 얼룩이 묻었다,신발에 커피를 쏟다,그는 음식을 먹을 때 옷에 흘렸다
1444,그는 새 가구를 구입했다,그는 집을 재단장하다,집을 재단장하다,그는 집을 재단장하기로 결심했다
1445,그는 슬퍼 보였다,그는 가족 구성원을 잃었다,가장 친한 친구와 싸우다,그의 애완 동물이 죽었다
1446,그는 처음에는 좋아했다,그는 그 사람에게 첫인상이 좋았다,그 사람의 진짜 성격을 알다,그는 그 사람을 잘 몰랐다
1447,그는 실수로 베였다,그는 칼을 부주의하게 다루다,집중력을 잃다,그는 요리를 배우고 있었다
1448,그는 밖에서 추위를 느꼈다,그는 겨울 외투를 입지 않았다,옷을 잃어버리다,그는 외투를 입지 않고 나갔다
1449,그는 사고를 일으켰다,그는 술에 취해 운전을 했다,술에 취해서 운전하다,그는 술을 마셨다
1450,그는 함께 웃었다,그는 그와 함께 웃기 시작했다,친구와 재미있는 이야기를 나누다,그는 친구의 재미있는 이야기를 들었다
1451,그는 스카이다이빙을 하러 갔다,그는 그의 친구와 약속을 잡다,모험을 즐기고 싶어하다,그는 용감한 도전을 해보고 싶었다
1452,그는 새 휴대폰을 받았다,그는 그의 이전 휴대폰이 고장나서 새로운 것을 받았다,전화를 분실하다,그의 이전 휴대폰이 고장나서 사용할 수 없었다
1453,그는 어쨌든 가기로 결정했다,그는 그녀를 다시 찾아보기로 결정했다,친구들과 약속을 잡다,그는 모든 장단점을 심사숙고하게 고려했다
1454,그는 그녀의 뺨을 쓰다듬었다,그는 그녀를 위로하다,그녀를 위로하다,그는 그녀의 손을 잡았다
1455,그는 어지럽었다,그는 술을 마시고 있었다,술을 마시다,그는 술을 많이 마셨다
